specimen_key,split,variant,prompt_id,render_id,clean_sha256,numbered_sha256,status,first_pass_status,first_pass_percept,first_pass_parser_valid,first_pass_contract_valid,repair_dependent,region_count,unique_cell_count,cells,confidence_counts,no_reliable_cue,c0_size,c0_cells,c0_reason,calls,repair_calls,elapsed_seconds,output_tokens,forward_calls,raw_paths,overlay,human_review
w68dtmpfyf:q16-29,VALID,C_P0_R1,P0,R1,e03d1e800bd0d8aa219541870ba8121090d0d050de12641abe00516de8de86d0,69b2d8f859db33f5da96f918b654142b6852ec990e9316284787a86e2f86dae1,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [27, 59], ""cue"": ""unknown"", ""alternative"": ""可能的划痕或磨损"", ""confidence"": ""medium""}, {""cells"": [36, 58], ""cue"": ""unknown"", ""alternative"": ""可能的划痕或磨损"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,True,False,2,4,"[27, 36, 58, 59]","{""medium"": 2}",False,4,"[27, 36, 58, 59]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,10.394973292946815,108,108,"[""runs/w68dtmpfyf__q16-29/C_P0_R1/raw_1.txt""]",overlays/w68dtmpfyf__q16-29/C_P0_R1.png,PENDING_HUMAN_REVIEW
w68dtmpfyf:q16-29,VALID,D_P1_R1,P1,R1,e03d1e800bd0d8aa219541870ba8121090d0d050de12641abe00516de8de86d0,69b2d8f859db33f5da96f918b654142b6852ec990e9316284787a86e2f86dae1,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [28, 29], ""cue"": ""中心有一个圆形的痕迹"", ""alternative"": ""可能是由于轻微的划痕或磨损造成的"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,True,False,1,2,"[28, 29]","{""medium"": 1}",False,2,"[28, 29]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,9.352970301173627,73,73,"[""runs/w68dtmpfyf__q16-29/D_P1_R1/raw_1.txt""]",overlays/w68dtmpfyf__q16-29/D_P1_R1.png,PENDING_HUMAN_REVIEW
xcmzfsbd9t:c24-43,TRAIN,A_P0_R0,P0,R0,7e94c1f0631c112c5bee6dd910190e170d048c2da821f4acf49c4234ba6744c3,4bfecb1625891d160ac5164a2869ab13f9867abf3132addd71c2210986277e43,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [36], ""cue"": ""crack"", ""alternative"": ""划痕"", ""confidence"": ""high""}, {""cells"": [27, 28, 29], ""cue"": ""scratch"", ""alternative"": ""划痕"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,True,False,2,4,"[27, 28, 29, 36]","{""high"": 1, ""medium"": 1}",False,1,[36],HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,10.243105254136026,101,101,"[""runs/xcmzfsbd9t__c24-43/A_P0_R0/raw_1.txt""]",overlays/xcmzfsbd9t__c24-43/A_P0_R0.png,PENDING_HUMAN_REVIEW
xcmzfsbd9t:c24-43,TRAIN,B_P1_R0,P1,R0,7e94c1f0631c112c5bee6dd910190e170d048c2da821f4acf49c4234ba6744c3,4bfecb1625891d160ac5164a2869ab13f9867abf3132addd71c2210986277e43,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [36, 37], ""cue"": ""中心处的裂纹"", ""alternative"": ""可能是材料表面的自然划痕"", ""confidence"": ""high""}], ""no_reliable_cue"": false}",True,True,False,1,2,"[36, 37]","{""high"": 1}",False,2,"[36, 37]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,9.275045359507203,71,71,"[""runs/xcmzfsbd9t__c24-43/B_P1_R0/raw_1.txt""]",overlays/xcmzfsbd9t__c24-43/B_P1_R0.png,PENDING_HUMAN_REVIEW
xcmzfsbd9t:c24-43,TRAIN,C_P0_R1,P0,R1,7e94c1f0631c112c5bee6dd910190e170d048c2da821f4acf49c4234ba6744c3,2487ace7a401fb0c21358f986119fab108d14c3e9f592b8054d251ac7a8ba88e,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [27, 28], ""cue"": ""crack"", ""alternative"": ""划痕"", ""confidence"": ""medium""}, {""cells"": [59, 60], ""cue"": ""unknown"", ""alternative"": ""未知"", ""confidence"": ""unknown""}], ""no_reliable_cue"": false}",True,True,False,2,4,"[27, 28, 59, 60]","{""medium"": 1, ""unknown"": 1}",False,2,"[27, 28]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,10.238779061473906,100,100,"[""runs/xcmzfsbd9t__c24-43/C_P0_R1/raw_1.txt""]",overlays/xcmzfsbd9t__c24-43/C_P0_R1.png,PENDING_HUMAN_REVIEW
xcmzfsbd9t:c24-43,TRAIN,D_P1_R1,P1,R1,7e94c1f0631c112c5bee6dd910190e170d048c2da821f4acf49c4234ba6744c3,2487ace7a401fb0c21358f986119fab108d14c3e9f592b8054d251ac7a8ba88e,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [28, 29, 30, 31], ""cue"": ""中心区域的划痕"", ""alternative"": ""可能是由于划伤造成的表面损伤"", ""confidence"": ""high""}], ""no_reliable_cue"": false}",True,True,False,1,4,"[28, 29, 30, 31]","{""high"": 1}",False,4,"[28, 29, 30, 31]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,9.596106493845582,79,79,"[""runs/xcmzfsbd9t__c24-43/D_P1_R1/raw_1.txt""]",overlays/xcmzfsbd9t__c24-43/D_P1_R1.png,PENDING_HUMAN_REVIEW
yfxyg8jm46:c16-20,TRAIN,A_P0_R0,P0,R0,464894d79f9a00318d0dabc11ded1c0da8dd5ace89bf101777cbffffc4ed6233,c0dbcb670708600bd93eff5d7d1562ebde405a44b176cdbfbef7c57b601a1d41,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [35, 36], ""cue"": ""划痕"", ""alternative"": ""表面磨损或划痕"", ""confidence"": ""medium""}, {""cells"": [37, 38], ""cue"": ""划痕"", ""alternative"": ""表面磨损或划痕"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,True,False,2,4,"[35, 36, 37, 38]","{""medium"": 2}",False,4,"[35, 36, 37, 38]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,10.442917831242085,108,108,"[""runs/yfxyg8jm46__c16-20/A_P0_R0/raw_1.txt""]",overlays/yfxyg8jm46__c16-20/A_P0_R0.png,PENDING_HUMAN_REVIEW
yfxyg8jm46:c16-20,TRAIN,B_P1_R0,P1,R0,464894d79f9a00318d0dabc11ded1c0da8dd5ace89bf101777cbffffc4ed6233,c0dbcb670708600bd93eff5d7d1562ebde405a44b176cdbfbef7c57b601a1d41,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [35, 36, 37], ""cue"": ""细长的白色痕迹"", ""alternative"": ""可能是反光或灰尘"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,True,False,1,3,"[35, 36, 37]","{""medium"": 1}",False,3,"[35, 36, 37]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,9.489060394465923,73,73,"[""runs/yfxyg8jm46__c16-20/B_P1_R0/raw_1.txt""]",overlays/yfxyg8jm46__c16-20/B_P1_R0.png,PENDING_HUMAN_REVIEW
yfxyg8jm46:c16-20,TRAIN,C_P0_R1,P0,R1,464894d79f9a00318d0dabc11ded1c0da8dd5ace89bf101777cbffffc4ed6233,ce8fad3cfe7beff613ed0243074ac6df0cc2465d29bb5bd394220891449945ad,VALID_AFTER_REPAIR,INVALID_OR_FAILED,"{""regions"": [{""cells"": [35, 36], ""cue"": ""划痕"", ""alternative"": ""表面磨损或划痕"", ""confidence"": ""medium""}, {""cells"": [34, 35], ""cue"": ""划痕"", ""alternative"": ""表面磨损或划痕"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,False,True,1,2,"[35, 36]","{""medium"": 1}",False,2,"[35, 36]",HIGHEST_RELIABLE_CONFIDENCE_C0,2,1,19.652968586422503,174,174,"[""runs/yfxyg8jm46__c16-20/C_P0_R1/raw_1.txt"", ""runs/yfxyg8jm46__c16-20/C_P0_R1/raw_2.txt""]",overlays/yfxyg8jm46__c16-20/C_P0_R1.png,PENDING_HUMAN_REVIEW
yfxyg8jm46:c16-20,TRAIN,D_P1_R1,P1,R1,464894d79f9a00318d0dabc11ded1c0da8dd5ace89bf101777cbffffc4ed6233,ce8fad3cfe7beff613ed0243074ac6df0cc2465d29bb5bd394220891449945ad,VALID_AFTER_REPAIR,INVALID_OR_FAILED,"{""regions"": [{""cells"": [35, 36], ""cue"": ""细长的划痕"", ""alternative"": ""可能的划痕或磨损"", ""confidence"": ""medium""}, {""cells"": [35, 37], ""cue"": ""细长的划痕"", ""alternative"": ""可能的划痕或磨损"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,False,True,1,2,"[35, 36]","{""medium"": 1}",False,2,"[35, 36]",HIGHEST_RELIABLE_CONFIDENCE_C0,2,1,19.68462121207267,186,186,"[""runs/yfxyg8jm46__c16-20/D_P1_R1/raw_1.txt"", ""runs/yfxyg8jm46__c16-20/D_P1_R1/raw_2.txt""]",overlays/yfxyg8jm46__c16-20/D_P1_R1.png,PENDING_HUMAN_REVIEW
ykhs7s2dck:q8-3,TRAIN,A_P0_R0,P0,R0,e96bdba4f9c25724296c3635893426ccf1da8fd82d0cb74bed1dc331439736f5,028c896f2365e719464e8b5794e176358cbdf77b2e6533cc804d806e11278ebe,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [35, 36], ""cue"": ""小圆点"", ""alternative"": ""可能是污渍或划痕"", ""confidence"": ""medium""}, {""cells"": [59, 60], ""cue"": ""未知"", ""alternative"": ""无明显线索"", ""confidence"": ""unknown""}], ""no_reliable_cue"": false}",True,True,False,2,4,"[35, 36, 59, 60]","{""medium"": 1, ""unknown"": 1}",False,2,"[35, 36]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,10.495609463192523,107,107,"[""runs/ykhs7s2dck__q8-3/A_P0_R0/raw_1.txt""]",overlays/ykhs7s2dck__q8-3/A_P0_R0.png,PENDING_HUMAN_REVIEW
ykhs7s2dck:q8-3,TRAIN,B_P1_R0,P1,R0,e96bdba4f9c25724296c3635893426ccf1da8fd82d0cb74bed1dc331439736f5,028c896f2365e719464e8b5794e176358cbdf77b2e6533cc804d806e11278ebe,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [35, 36], ""cue"": ""小圆点"", ""alternative"": ""可能是灰尘或污渍"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,True,False,1,2,"[35, 36]","{""medium"": 1}",False,2,"[35, 36]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,9.079278743825853,67,67,"[""runs/ykhs7s2dck__q8-3/B_P1_R0/raw_1.txt""]",overlays/ykhs7s2dck__q8-3/B_P1_R0.png,PENDING_HUMAN_REVIEW
ykhs7s2dck:q8-3,TRAIN,C_P0_R1,P0,R1,e96bdba4f9c25724296c3635893426ccf1da8fd82d0cb74bed1dc331439736f5,caf5a15eaa8d8c38e20f0e833114b1ccf9d046a1ea915392333cd5874b9e2bc4,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [35, 36], ""cue"": ""小圆点"", ""alternative"": ""可能是轻微的划痕或污渍"", ""confidence"": ""medium""}, {""cells"": [59, 60], ""cue"": ""未知"", ""alternative"": ""无明显线索"", ""confidence"": ""unknown""}], ""no_reliable_cue"": false}",True,True,False,2,4,"[35, 36, 59, 60]","{""medium"": 1, ""unknown"": 1}",False,2,"[35, 36]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,10.565668432973325,109,109,"[""runs/ykhs7s2dck__q8-3/C_P0_R1/raw_1.txt""]",overlays/ykhs7s2dck__q8-3/C_P0_R1.png,PENDING_HUMAN_REVIEW
ykhs7s2dck:q8-3,TRAIN,D_P1_R1,P1,R1,e96bdba4f9c25724296c3635893426ccf1da8fd82d0cb74bed1dc331439736f5,caf5a15eaa8d8c38e20f0e833114b1ccf9d046a1ea915392333cd5874b9e2bc4,VALID_FIRST_PASS,CONTRACT_VALID,"{""regions"": [{""cells"": [35, 36], ""cue"": ""中心有一个小圆形痕迹"", ""alternative"": ""可能是轻微的划痕或污渍"", ""confidence"": ""medium""}], ""no_reliable_cue"": false}",True,True,False,1,2,"[35, 36]","{""medium"": 1}",False,2,"[35, 36]",HIGHEST_RELIABLE_CONFIDENCE_C0,1,0,9.348296909593046,72,72,"[""runs/ykhs7s2dck__q8-3/D_P1_R1/raw_1.txt""]",overlays/ykhs7s2dck__q8-3/D_P1_R1.png,PENDING_HUMAN_REVIEW
