schema_version,dataset_id,specimen_id,specimen_key,split,domain_rank,surface_sha256,registered_cscan_sha256,native_height,native_width,transform_sha256
1,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,TEST,9,016a9dc508469d9853e477ad9a3f4aaba923855a2d837059642cf782bb585c34,0b4ae9236eed4c06f3e43132150dc0c1b4811df851d6933554d3e9f29d0d9e6d,674,675,5d771b77ec7fdc5f670731e3f085d701bf24c637348f4c5fa7ebb48450ca8216
1,xcmzfsbd9t,c24-11t,xcmzfsbd9t:c24-11t,TRAIN,0,1a476ec3c4a4a1efd4a90572d3708adfbc9c0e7c6f04663d814790736411d00c,da2f286f15fc6112799a945a07be3a3c705e6715ee540e9ecf730af3a5918305,674,675,c4ef2f3e10f5358bfd58b5a69903a4ab884648db3af11c397fd8801ff2cb0689
1,xcmzfsbd9t,c24-37,xcmzfsbd9t:c24-37,TRAIN,1,c67c6f2952d8388f434349604b62dbdc49aabce68f98f64de36049c8530de2ef,4b3d2ed2de86d80b1e865c9216375ca77682f50b6b7becec049e14d0c5afbc5e,674,675,3ed51d580223ceb6f6b0ef41d9cd6c55350a9d731c9d918954e066c8b0e69a18
1,xcmzfsbd9t,c24-43,xcmzfsbd9t:c24-43,TRAIN,2,f9e395d81ee5aedda75c7652db77578533d9203045b3ec7fae659c57d18908aa,3ef0b32a50111d0dda8384bfe89e7e9daf625dd7476f367575c1104779d88962,674,675,d56229a40684bfd04db9609988eb8fcca00e7f52b675a39e55f2300c0a1161a6
1,xcmzfsbd9t,c24-33,xcmzfsbd9t:c24-33,TRAIN,3,cb7f9b6cc5f9b7de07a032b39630a6d9b2a5e668f03f4a25a80babfc360e21b6,b66d551db8dbb948ad696f0f86b0d19a5e16b39f62cc8ab422ee5d4eb8052cc6,674,675,c82e497f8373274b2d1f8953c7b8dc706c6124b06c6d93d9ed20727537ee98d2
1,xcmzfsbd9t,c24-9t,xcmzfsbd9t:c24-9t,VALID,4,39403db34361de0fd516c10489073c228e98311be9b4605677c254d39ffd9dbd,85c8c37364c644a455082919dd67363ee7e5b22a00c73b134048be0ce7862f20,674,675,5c695259dbc40a6bd37cea1a9e3ef4f3a2129040461189da4d6488231daee2dd
1,xcmzfsbd9t,c24-27,xcmzfsbd9t:c24-27,VALID,5,2bbb5eed55c0cacdab8a105682fa61cb2904f095a257118c90deb5a99f8e9eca,03737e34b2c530e9c861fd54b06a39ec73e8eb5523b79354c2fc4d745950f051,674,675,1a0cee5144c880e868b08132a3108ead2425d10232ef340d69de635688019b4d
1,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,TEST,6,5c8baeeebc704c726c510b8d0a0fa34f73c09688430a19f93e6694de6cdf4aea,9c021666e58c65b242b6b3da2d78a8cf4561e66f9c5485f2ea0e50505acda0e2,338,340,442ae4e18a129b2024bbc52219c917186f857ebee139091b81668167489f2487
1,xcmzfsbd9t,c24-39,xcmzfsbd9t:c24-39,TEST,7,374800441e694305990ca41202ecc455061d4bccf3bb784c22d5c4f497a0c8fb,5bdfc9567c043ba84e34d7c8099106c7ba8424399f539b96ea3dea2690c37499,674,675,1cd09995fd0619e4aadd3c821e42ee1d877b16f030b83b609df658c584ca1fdf
1,xcmzfsbd9t,c24-54,xcmzfsbd9t:c24-54,TEST,8,0c385a1e7120d9df582458a0638b4097b59a8b8c90cacce6dc5b4407b95d4a90,173a65d0345263fa4e7cf8643f4af73f5e9efe3b699fd1c7b4acbd517a9918b8,674,675,092d9d984df866da227b2fcf4dbda295d400676945ebbb786cd83745ee38d7aa
1,xcmzfsbd9t,c24-49,xcmzfsbd9t:c24-49,TEST,9,48e36ff85000a16cb6f32f39bbcc72f7170e4a417efb590b08dbeacc659432b3,b2f0842f2c51b23410f0128ebf40dd66688846d5fd37b4284fb1c16a8f2c2234,674,675,4a2c179e22cc8d66b0c8324796183e3667abaad2fd9790b5ea8a891d45d6bd55
1,yfxyg8jm46,c16-30,yfxyg8jm46:c16-30,TRAIN,0,3329818ad7e991939ea1a504e7c952668cf028c90c9ac2031c1840e7b9a277b2,e5712cc7ed915061d9777a86ca5516cf7b22e650941e4df635f5decd1575b258,674,675,af64f1727f8c8a76483925374137798ccc62c19c5b28986cf87748432db0bd7d
1,yfxyg8jm46,c16-12,yfxyg8jm46:c16-12,TRAIN,1,882d6b8792b9c7f1311b9b9d4c92dea0b4ce329c2f2f6583bb11704bf9b37f8c,39a42d1171f6754e2f9bdefee1640b09ddb1604ee318ca9cfd673c353bcfab31,674,675,0fc7d707989c16448c486d3225c1d67d493f59f30e353c7e630b937605777101
1,yfxyg8jm46,c16-42,yfxyg8jm46:c16-42,TRAIN,2,c88f1c8265cd9295c636d77a55d108d561b4e73e7733bb1c9a815bb6a53b49e7,55a664176a681566cd6ee3cc7d098476fc292d9a1c00d8b514f0c266a1587156,674,675,75f258179263856881a9e171c49c990f545baaf2e4526c18062473f88f00385b
1,yfxyg8jm46,c16-18,yfxyg8jm46:c16-18,TRAIN,3,865a26486e21ec23175f4e1d2c484bbb55a1fcf378a30fdc5d59cd9e45f2c65f,409d54f08d9adbbbf4cd65e158ee19f8bafa8d1b8affe57ce19025684f388c9c,674,675,4d6dd93880860822ac04a2ec52878e379290ceed727bbacb6ad8c4dfe050b647
1,yfxyg8jm46,c16-16,yfxyg8jm46:c16-16,VALID,4,683eee960206d25d767c6886612efeb75d9269c68b7d7ff3c6d3a0661daed336,34a319b030256c4ed903dfde4728a2072cd30ed5452ac2e84d1d6b51c542d36c,674,675,4a47d92ea483411d99515fe08ab6cbc372e1896f3a5ca9350088ba82f8dff4d0
1,yfxyg8jm46,c16-35,yfxyg8jm46:c16-35,VALID,5,1786d6705cc45c5a8c6a8f5b542fa72104f5926f74c611a6dcf47f12b61039e9,84cb4b644cc50d5792220749e8e9c21d1aff6720dba4862b3b0d27f314c9feaa,674,675,334e2eeb484a73f527c866c1b66722fb59912a813af8a72050bf02be6dcbe2fd
1,yfxyg8jm46,c16-4,yfxyg8jm46:c16-4,TEST,6,d1019b40797b6f735605addd02216864f4483465ae5686d0f0adaa219a5c49d4,b549de38a94eaf9c48cecbacfea09a1ff6972566103af3bd81800f8a144ede67,674,675,a1ada261710345ad1f30b003372c21e096252ccd158ed017932fcac6264bfe41
1,yfxyg8jm46,c16-38,yfxyg8jm46:c16-38,TEST,7,d0655d09fac4977cfdeb34cdd3b625260796260854931dc420bfa4c61bef9f36,2d8b5fc2f185c91555dd8dda33c9fed0b89b12463ec07f9101343470466ef45d,674,675,f71ae90d73ab867102dacbeb9f3bec9f36988d1abd14d7840fb0459953d3edca
1,yfxyg8jm46,c16-15,yfxyg8jm46:c16-15,TEST,8,eaea294a3e67b85bd111e88d6e14f6da8445e16d747b44a9b450b860e7c2bd1b,855be2590cdf34a7895b9cab2ca545ea4fff7c0f90e32b93d91913bac56570f2,674,675,d4294ca04382ab6fe16566b7f6864d733a03b8e6f64da07632d74b5da9f8b9e3
1,yfxyg8jm46,c16-19,yfxyg8jm46:c16-19,TEST,9,cc2da79bbb8f1847ef637fa17b14aa3105d63eedd317919d3248f109a449c023,02926e1a2086065bbde477e8a9648b6dae76784b5307b94a914f67b461546da2,674,675,a86cc6648113a158562b3d721f5efbf73ed63f4971b98f050667b5d8b0b7dc0e
1,ykhs7s2dck,q8-41,ykhs7s2dck:q8-41,TRAIN,0,527bb9b2d58149d07cca69d9300679bf44d9425d3f62efe99265bc92800ada08,2f2cb25ca012e42ea68b79feb307cc0dfeebdf78b93d3d399dfc0635086fb6e5,674,675,d262691523aede961b479296b34798409f19268cdbe02a099073763e90f3d947
1,ykhs7s2dck,q8-7,ykhs7s2dck:q8-7,TRAIN,1,3bc73347113f3f689384dd8cd0b01d8d93c0c1e51b6b6cc08ed9c49cf8da0e24,4d397c847f43161a6d32abc8349caab162f55addb6e717b10a8a861d8ea05f61,674,675,b0205f6f6d55be5d67a1b9844d3a93f83ca8fec2af830cc70adc44b1e28ee553
1,ykhs7s2dck,q8-28,ykhs7s2dck:q8-28,TRAIN,2,d533fabbf9c26136f42bba0d65d5ee308a3d1bdff4b1ee49affd2a6e9d1ee3f7,e49b58b8def3ea5384024879a7a7491a2f7a73353c424146d015d6bc527c1e08,674,675,baa91d210fb98e5703764c8edb5cb5d79f7dd6224516a377654cb40e45b53be5
1,ykhs7s2dck,q8-11,ykhs7s2dck:q8-11,TRAIN,3,7dca1e3de9f5ac04e587915ac05edc24fd4e3047cd0092353151283373234c71,94d7b857c5df0bdee3284b45b7f1c7fde5d325c7865451ddb72ef932479023c7,674,675,17317214b3d744b44d7eb3a01c21c4f4f85f98ae11bf4ddbebe519253abb05ac
1,ykhs7s2dck,q8-14,ykhs7s2dck:q8-14,VALID,4,b013d48f5d83d9cce399f3dce6b7dee801cd4ed36188db8be83838a8f9837c4c,9bfeb0a61e9402910c6eac750d7ac8b48825ee95d90aa1bddeea888fafbf8076,674,675,49bacebc38098dad87816dc126ef2ac2c51816daee8510bc525bd24092332fbb
1,ykhs7s2dck,q8-29,ykhs7s2dck:q8-29,VALID,5,97316f12a684311cc32e3fef70136653c3e30ac8723f185c3b07b814d478a6cf,da1a92efa93ed61c21b4cafd892bab409d454fde022f16b5e2dd6cca67e6c703,674,675,9904eada67270b5ba3672f668d42844a1ff7c7e727744ad423620fc4eb255232
1,ykhs7s2dck,q8-31,ykhs7s2dck:q8-31,TEST,6,c0bca3718848553cac82df488b609ad17bd490b04d57c5f4cfeb2f8ac75ac689,5563eeef311e4ef686cd45729bb1bb4caa1634ba78b8b19917ecb364c780f8d5,674,675,b96f878432df9cae62f7a275c947b706189ce4c3bad5a2c56f46877b5d0c42b1
1,ykhs7s2dck,q8-33,ykhs7s2dck:q8-33,TEST,7,0376b587cea46743ac5dccc1c170f177561452ee9189d701635d30798c35201f,23696a0f60143096bf7081b102a348e2c5fe91c37d331ac13ce15147844768b8,674,675,b6965cd4ea54bb9e6ddc88e3c2ce556d2137d8928ac650ea6c7ca5d7ce925f75
1,ykhs7s2dck,q8-4,ykhs7s2dck:q8-4,TEST,8,238fbc65644f4311202e2e3597cc2f18678fea9aa5d7e60441a6da0aca2c6be1,f671d2558f1bd96d6977bb556e59d5b0dbdf28daca5821518e840bbc73a4e21d,674,675,0c3b900ed49554d15607818cb62a6dab9186f2251f0c34ca7bc9524c2b78308f
1,ykhs7s2dck,q8-19,ykhs7s2dck:q8-19,TEST,9,fb9d6532eafcac24ea99d2656bc869b5c790db64162dcba2fb8f81691ef33b75,b07fcffaa9e5f3fca0243c458b0725939eadb3c75afd66509107cc58320e110c,674,675,7e6edfa2a154e43594f2f07a9a82e2e585f5b08cfbbacdf53e64eea610c9e639
