schema_version,dataset_id,specimen_id,specimen_key,split,reference_type,review_state,reviewer_alias,formal_eligible,proxy_scope,formal_success_available
1,cgtnjyggtm,q24-8,cgtnjyggtm:q24-8,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,cgtnjyggtm,q24-37,cgtnjyggtm:q24-37,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,w68dtmpfyf,q16-23,w68dtmpfyf:q16-23,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,w68dtmpfyf,q16-22,w68dtmpfyf:q16-22,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,w68dtmpfyf,q16-24,w68dtmpfyf:q16-24,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,w68dtmpfyf,q16-42,w68dtmpfyf:q16-42,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,w68dtmpfyf,q16-32,w68dtmpfyf:q16-32,VALID,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,w68dtmpfyf,q16-12,w68dtmpfyf:q16-12,VALID,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,w68dtmpfyf,q16-21,w68dtmpfyf:q16-21,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,xcmzfsbd9t,c24-11t,xcmzfsbd9t:c24-11t,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,xcmzfsbd9t,c24-37,xcmzfsbd9t:c24-37,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,xcmzfsbd9t,c24-43,xcmzfsbd9t:c24-43,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,xcmzfsbd9t,c24-33,xcmzfsbd9t:c24-33,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,xcmzfsbd9t,c24-9t,xcmzfsbd9t:c24-9t,VALID,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,xcmzfsbd9t,c24-27,xcmzfsbd9t:c24-27,VALID,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,xcmzfsbd9t,c24-39,xcmzfsbd9t:c24-39,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,xcmzfsbd9t,c24-54,xcmzfsbd9t:c24-54,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,xcmzfsbd9t,c24-49,xcmzfsbd9t:c24-49,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,yfxyg8jm46,c16-30,yfxyg8jm46:c16-30,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,yfxyg8jm46,c16-12,yfxyg8jm46:c16-12,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,yfxyg8jm46,c16-42,yfxyg8jm46:c16-42,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,yfxyg8jm46,c16-18,yfxyg8jm46:c16-18,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,yfxyg8jm46,c16-16,yfxyg8jm46:c16-16,VALID,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,yfxyg8jm46,c16-35,yfxyg8jm46:c16-35,VALID,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,yfxyg8jm46,c16-4,yfxyg8jm46:c16-4,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,yfxyg8jm46,c16-38,yfxyg8jm46:c16-38,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,yfxyg8jm46,c16-15,yfxyg8jm46:c16-15,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,yfxyg8jm46,c16-19,yfxyg8jm46:c16-19,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,ykhs7s2dck,q8-41,ykhs7s2dck:q8-41,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,ykhs7s2dck,q8-7,ykhs7s2dck:q8-7,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,ykhs7s2dck,q8-28,ykhs7s2dck:q8-28,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,ykhs7s2dck,q8-11,ykhs7s2dck:q8-11,TRAIN,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,ykhs7s2dck,q8-14,ykhs7s2dck:q8-14,VALID,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,ykhs7s2dck,q8-29,ykhs7s2dck:q8-29,VALID,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,ykhs7s2dck,q8-31,ykhs7s2dck:q8-31,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,ykhs7s2dck,q8-33,ykhs7s2dck:q8-33,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,ykhs7s2dck,q8-4,ykhs7s2dck:q8-4,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
1,ykhs7s2dck,q8-19,ykhs7s2dck:q8-19,TEST,ALGORITHM_DERIVED_NOT_REVIEWED,pending,,False,SAME_READER_SELF_CONSISTENCY,False
