specimen_key,split,cache_key
cgtnjyggtm:q24-8,TEST,769a08a28023c119cd559758e49cb5630382ed2803e83146ca5d78c7ace87b61
w68dtmpfyf:q16-12,VALID,8f2e2797ecebf3c5b568850b872dde4bd4cc291c723ee29c78cde87356348a9b
w68dtmpfyf:q16-21,TEST,74da358e39b4f16fe4acdac0d3109fedcf64c1638cfe6924fc8a7f787b73a743
w68dtmpfyf:q16-22,TRAIN,ac4f4eefe165f1137b8c3e506de84cbde8d2e40d6cbb235f8af0102cd258a34f
w68dtmpfyf:q16-23,TRAIN,d26488e047edb2fefb70fcfd2fac1843effdb599a37a3d608fbbb412c4bd7ce4
w68dtmpfyf:q16-24,TRAIN,8bc9dae3c91bd919a9c229e8e2cb0f2b36434f087a84a78e30e8ca3d0b435dfe
w68dtmpfyf:q16-3,TEST,943af824cfaf9d9237cc43b135d25712369cffaefe0fac280929dc54ef52153b
w68dtmpfyf:q16-31,TEST,49a57acf6a530b143538d70adc821b60c179e158a81bfb846a33187edacc3539
w68dtmpfyf:q16-32,VALID,99113e1fdc7bc024fea7bfd5c09197d26d56465458591e2d63bc6e751610e5c0
w68dtmpfyf:q16-36,TEST,597f8ff0266da68bb54be91457b7b8e0b7d902792c368d89425a5d4c79779d6f
w68dtmpfyf:q16-42,TRAIN,2b39e7353112de5e8b54aff0cc55cacc42ba7296f62ce673104f1de753a8ac0e
xcmzfsbd9t:c24-11t,TRAIN,aabd5db1c2019cf0ed76ccd27e76996995a7485fd5d119e6c5624b8fbef7a70c
xcmzfsbd9t:c24-20,TEST,37980e3b55198e41f86d3a160adbc1591fcc6dd85ea77fb7d516c8ee799354c8
xcmzfsbd9t:c24-27,VALID,cd5ebfba88edb63c2bd8db90705cf9deb7440d66b96b4d4f0dab4b7685d0a4dd
xcmzfsbd9t:c24-33,TRAIN,bda5958a8f7c57c5defb3da18980d661c44db233ad6954684f8e160ce02e50af
xcmzfsbd9t:c24-37,TRAIN,fb0cf2a8f67f3245298c60cc02a6361b23794ac198f3d7f981c5b20687e28e5a
xcmzfsbd9t:c24-39,TEST,873342d64182db699f695ce43d06b8c70ed5a8eba8d0379166b0b9c80955860c
xcmzfsbd9t:c24-43,TRAIN,3c485cdf3818348965713de9c374200335f7721b556c8667e44661b8fe010e37
xcmzfsbd9t:c24-49,TEST,015e036cb05ab6747918444659b565b8d6c4b80df2ef7a9c6c3402a25289a33f
xcmzfsbd9t:c24-54,TEST,2d1d9094597ef07bf3f9bf3457ff7657906a6bcb5c43a0f30dfb56038e46c09e
xcmzfsbd9t:c24-9t,VALID,64ee84c7a429b557ee3ac66037f903a2cb298d1ea7fa63e120f2fbd64e9eee89
yfxyg8jm46:c16-12,TRAIN,6f8c2211b6e605cd76c488f4a30481aa09b826a059f7e4290f7cec48174d2417
yfxyg8jm46:c16-15,TEST,21f2cda7a78a54983d20b58af9478dbf847a7aa2ab95237d1055c787182b40b9
yfxyg8jm46:c16-16,VALID,2e564fae3915940a891bd90d5a84f0849f885490fe0b5a7789c43ee48188bbf3
yfxyg8jm46:c16-18,TRAIN,5e6ebcbd11f8bfddf58bd19daef5dc6af5e61476d23be11a41da20df35282143
yfxyg8jm46:c16-19,TEST,38c9d7a65ffe9d8ddbcf7b6bbbadb1b774a439fe76451b4ae67eda25c9646a10
yfxyg8jm46:c16-30,TRAIN,fa174a71224cb6646f999bcf77f215a538b5c183971fb406f8d944fe526788f8
yfxyg8jm46:c16-35,VALID,8a07f86ded7f97b6071a8c0888cae7b45a1d60503035120342636522ce6ac1ef
yfxyg8jm46:c16-38,TEST,943e6f8173bf098f0725a11c37454f1939f50e908732897ceff42866c0f839bf
yfxyg8jm46:c16-4,TEST,9ae2962cbde0a82b7b138359e2c2db4b12b530d233af0a3ab5752c514609e782
yfxyg8jm46:c16-42,TRAIN,c872c261d120d0a3c6385d131287f2795a6e7bbb9d6e3a8c9095db132436f6f6
ykhs7s2dck:q8-11,TRAIN,4f1cdca411cdf0f1a48537af110eaec2c16750f8e5118f585839dc9ab657ffdd
ykhs7s2dck:q8-14,VALID,3fa67a12af3cb2f95abcf2c96d1f0986f38b5d1d4680e3331ad90a96ed4b425b
ykhs7s2dck:q8-19,TEST,379d6e7dc9c21feed42325e695d200581d32c12631c3d5ef49738e75f3e00183
ykhs7s2dck:q8-28,TRAIN,2d821bba46bd6c3b65458a2e73fd0ec6c10ca133aa55aefd2d47f8a089ef7a3b
ykhs7s2dck:q8-29,VALID,f9e19381ffaa9b649ed4f7d94072620456a1122b560cc1634be00a017dcd5bd4
ykhs7s2dck:q8-31,TEST,c0559f356875856f1a8e0c1cc1e3e786b34bd1104593261f784119040c644447
ykhs7s2dck:q8-33,TEST,838877b6aaab778228aaa97d498d2fff938fac5c4ece57a98c6b01e30a8c3c03
ykhs7s2dck:q8-4,TEST,04c11630f7f11834870271d8218520bcb1fb35854bcbcdf0a320f6ff727e3350
ykhs7s2dck:q8-41,TRAIN,1c2c3c0a6e3a5451baa5f839f3c2e35fb72357f2da1e1c6132cb64cc783bf447
ykhs7s2dck:q8-7,TRAIN,9b310f35f0347f703161fe75839c975841dfe37d22c47fa1de5407d5dc2dcfae
