outer_domain,recipient_id,recipient_domain,recipient_pool,donor_id,relaxation
74t7kcdgkr,c8-24,74t7kcdgkr,target,c8-10t,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-25,74t7kcdgkr,target,c8-13,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-26,74t7kcdgkr,target,c8-33,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-27,74t7kcdgkr,target,c8-9,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-28,74t7kcdgkr,target,c8-35,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-29,74t7kcdgkr,target,c8-40,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-3,74t7kcdgkr,target,c8-39,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-30,74t7kcdgkr,target,c8-23,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-32,74t7kcdgkr,target,c8-6t,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-33,74t7kcdgkr,target,c8-8,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-34,74t7kcdgkr,target,c8-7,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-35,74t7kcdgkr,target,c8-6,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-36,74t7kcdgkr,target,c8-5,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-37,74t7kcdgkr,target,c8-30,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-38,74t7kcdgkr,target,c8-12,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-39,74t7kcdgkr,target,c8-21,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-4,74t7kcdgkr,target,c8-16,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-40,74t7kcdgkr,target,c8-4,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-41,74t7kcdgkr,target,c8-19,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-42,74t7kcdgkr,target,c8-36,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-43,74t7kcdgkr,target,c8-15,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-5,74t7kcdgkr,target,c8-18,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-6,74t7kcdgkr,target,c8-8t,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-6t,74t7kcdgkr,target,c8-2,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-7,74t7kcdgkr,target,c8-3,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-8,74t7kcdgkr,target,c8-9t,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-8t,74t7kcdgkr,target,c8-11,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-9,74t7kcdgkr,target,c8-26,dataset_exact_layup_energy_bin
74t7kcdgkr,c8-9t,74t7kcdgkr,target,c8-43,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-1,w68dtmpfyf,source,q16-7,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-10,w68dtmpfyf,source,q16-17,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-11,w68dtmpfyf,source,q16-23,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-12,w68dtmpfyf,source,q16-10,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-13,w68dtmpfyf,source,q16-34,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-14,w68dtmpfyf,source,q16-28,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-15,w68dtmpfyf,source,q16-20,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-16,w68dtmpfyf,source,q16-22,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-17,w68dtmpfyf,source,q16-36,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-18,w68dtmpfyf,source,q16-35,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-19,w68dtmpfyf,source,q16-25,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-2,w68dtmpfyf,source,q16-29,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-20,w68dtmpfyf,source,q16-2,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-21,w68dtmpfyf,source,q16-14,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-22,w68dtmpfyf,source,q16-40,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-23,w68dtmpfyf,source,q16-5,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-24,w68dtmpfyf,source,q16-12,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-25,w68dtmpfyf,source,q16-30,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-26,w68dtmpfyf,source,q16-8,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-27,w68dtmpfyf,source,q16-11,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-28,w68dtmpfyf,source,q16-15,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-29,w68dtmpfyf,source,q16-3,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-3,w68dtmpfyf,source,q16-33,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-30,w68dtmpfyf,source,q16-26,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-31,w68dtmpfyf,source,q16-6,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-32,w68dtmpfyf,source,q16-1,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-33,w68dtmpfyf,source,q16-19,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-34,w68dtmpfyf,source,q16-13,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-35,w68dtmpfyf,source,q16-24,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-36,w68dtmpfyf,source,q16-31,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-37,w68dtmpfyf,source,q16-27,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-38,w68dtmpfyf,source,q16-37,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-39,w68dtmpfyf,source,q16-43,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-4,w68dtmpfyf,source,q16-16,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-40,w68dtmpfyf,source,q16-42,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-41,w68dtmpfyf,source,q16-39,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-42,w68dtmpfyf,source,q16-18,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-43,w68dtmpfyf,source,q16-41,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-5,w68dtmpfyf,source,q16-4,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-6,w68dtmpfyf,source,q16-38,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-7,w68dtmpfyf,source,q16-9,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-8,w68dtmpfyf,source,q16-21,dataset_exact_layup_energy_bin
74t7kcdgkr,q16-9,w68dtmpfyf,source,q16-32,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-1,cgtnjyggtm,source,q24-42,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-10,cgtnjyggtm,source,q24-34,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-11,cgtnjyggtm,source,q24-28,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-12,cgtnjyggtm,source,q24-4,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-13,cgtnjyggtm,source,q24-8,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-14,cgtnjyggtm,source,q24-21,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-15,cgtnjyggtm,source,q24-30,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-16,cgtnjyggtm,source,q24-26,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-18,cgtnjyggtm,source,q24-22,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-19,cgtnjyggtm,source,q24-32,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-2,cgtnjyggtm,source,q24-7,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-20,cgtnjyggtm,source,q24-45,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-21,cgtnjyggtm,source,q24-25,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-22,cgtnjyggtm,source,q24-10,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-23,cgtnjyggtm,source,q24-18,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-24,cgtnjyggtm,source,q24-16,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-25,cgtnjyggtm,source,q24-46,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-26,cgtnjyggtm,source,q24-6,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-27,cgtnjyggtm,source,q24-19,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-28,cgtnjyggtm,source,q24-35,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-29,cgtnjyggtm,source,q24-33,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-3,cgtnjyggtm,source,q24-50,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-30,cgtnjyggtm,source,q24-15,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-31,cgtnjyggtm,source,q24-14,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-32,cgtnjyggtm,source,q24-20,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-33,cgtnjyggtm,source,q24-12,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-34,cgtnjyggtm,source,q24-11,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-35,cgtnjyggtm,source,q24-29,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-36,cgtnjyggtm,source,q24-47,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-37,cgtnjyggtm,source,q24-41,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-38,cgtnjyggtm,source,q24-43,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-39,cgtnjyggtm,source,q24-37,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-4,cgtnjyggtm,source,q24-5,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-40,cgtnjyggtm,source,q24-9,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-41,cgtnjyggtm,source,q24-39,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-42,cgtnjyggtm,source,q24-13,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-43,cgtnjyggtm,source,q24-31,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-44,cgtnjyggtm,source,q24-2,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-45,cgtnjyggtm,source,q24-3,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-46,cgtnjyggtm,source,q24-36,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-47,cgtnjyggtm,source,q24-38,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-48,cgtnjyggtm,source,q24-44,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-49,cgtnjyggtm,source,q24-1,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-5,cgtnjyggtm,source,q24-23,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-50,cgtnjyggtm,source,q24-49,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-6,cgtnjyggtm,source,q24-24,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-7,cgtnjyggtm,source,q24-40,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-8,cgtnjyggtm,source,q24-27,dataset_exact_layup_energy_bin
74t7kcdgkr,q24-9,cgtnjyggtm,source,q24-48,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-1,ykhs7s2dck,source,q8-38,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-10,ykhs7s2dck,source,q8-4,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-11,ykhs7s2dck,source,q8-18,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-12,ykhs7s2dck,source,q8-16,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-13,ykhs7s2dck,source,q8-7,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-14,ykhs7s2dck,source,q8-41,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-15,ykhs7s2dck,source,q8-13,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-16,ykhs7s2dck,source,q8-23,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-18,ykhs7s2dck,source,q8-37,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-19,ykhs7s2dck,source,q8-34,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-2,ykhs7s2dck,source,q8-29,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-20,ykhs7s2dck,source,q8-28,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-21,ykhs7s2dck,source,q8-19,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-22,ykhs7s2dck,source,q8-6,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-23,ykhs7s2dck,source,q8-22,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-24,ykhs7s2dck,source,q8-31,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-27,ykhs7s2dck,source,q8-10,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-28,ykhs7s2dck,source,q8-40,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-29,ykhs7s2dck,source,q8-20,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-3,ykhs7s2dck,source,q8-9,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-30,ykhs7s2dck,source,q8-3,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-31,ykhs7s2dck,source,q8-39,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-32,ykhs7s2dck,source,q8-27,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-33,ykhs7s2dck,source,q8-35,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-34,ykhs7s2dck,source,q8-36,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-35,ykhs7s2dck,source,q8-32,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-36,ykhs7s2dck,source,q8-1,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-37,ykhs7s2dck,source,q8-11,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-38,ykhs7s2dck,source,q8-2,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-39,ykhs7s2dck,source,q8-33,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-4,ykhs7s2dck,source,q8-5,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-40,ykhs7s2dck,source,q8-8,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-41,ykhs7s2dck,source,q8-30,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-5,ykhs7s2dck,source,q8-12,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-6,ykhs7s2dck,source,q8-24,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-7,ykhs7s2dck,source,q8-15,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-8,ykhs7s2dck,source,q8-14,dataset_exact_layup_energy_bin
74t7kcdgkr,q8-9,ykhs7s2dck,source,q8-21,dataset_exact_layup_energy_bin
cgtnjyggtm,c16-1,yfxyg8jm46,source,c16-9,dataset_exact_layup_energy_bin
cgtnjyggtm,c16-10,yfxyg8jm46,source,c16-16,dataset_exact_layup_energy_bin
cgtnjyggtm,c16-11,yfxyg8jm46,source,c16-29,dataset_exact_layup_energy_bin
cgtnjyggtm,c16-12,yfxyg8jm46,source,c16-41,dataset_exact_layup_energy_bin
cgtnjyggtm,c16-13,yfxyg8jm46,source,c16-14,dataset_exact_layup_energy_bin
cgtnjyggtm,c16-14,yfxyg8jm46,source,c16-33,dataset_exact_layup_energy_bin
cgtnjyggtm,c16-15,yfxyg8jm46,source,c16-20,dataset_exact_layup_energy_bin
cgtnjyggtm,c16-16,yfxyg8jm46,source,c16-24,dataset_exact_layup_energy_bin
cgtnjyggtm,c16-17,yfxyg8jm46,source,c16-23,dataset_exact_layup_energy_bin
cgtnjyggtm,c16-18,yfxyg8jm46,source,c16-17,dataset_exact_layup_energy_bin
cgtnjyggtm,c16-19,yfxyg8jm46,source,c16-3,dataset_exact_layup_energy_bin
cgtnjyggtm,c16-2,yfxyg8jm46,source,c16-19,dataset_exact_layup_energy_bin
