specimen_key,dataset_id,capture_group_id,fold
xcmzfsbd9t:c24-27,xcmzfsbd9t,cg_c8d497ef27ca01c9,2
xcmzfsbd9t:c24-3,xcmzfsbd9t,cg_b26d1c908a126477,2
xcmzfsbd9t:c24-30,xcmzfsbd9t,cg_287f1ab311b9a3fc,2
xcmzfsbd9t:c24-31,xcmzfsbd9t,cg_b871003b324014e0,0
xcmzfsbd9t:c24-32,xcmzfsbd9t,cg_df0149471a6f6eb9,2
xcmzfsbd9t:c24-33,xcmzfsbd9t,cg_bae44bd265c2b529,0
xcmzfsbd9t:c24-34,xcmzfsbd9t,cg_c1e922e11ce3c535,0
xcmzfsbd9t:c24-40,xcmzfsbd9t,cg_ffa89c87722d7ea3,1
xcmzfsbd9t:c24-41,xcmzfsbd9t,cg_9d693d0cc70dde01,1
xcmzfsbd9t:c24-43,xcmzfsbd9t,cg_af6c8dc793b64fe8,1
xcmzfsbd9t:c24-44,xcmzfsbd9t,cg_c64bbe37afea4d0f,0
xcmzfsbd9t:c24-45,xcmzfsbd9t,cg_42a8b494f17e6332,1
xcmzfsbd9t:c24-46,xcmzfsbd9t,cg_438165d9faa530d5,0
xcmzfsbd9t:c24-48,xcmzfsbd9t,cg_2d68d9e958d79557,1
xcmzfsbd9t:c24-49,xcmzfsbd9t,cg_a8a8394768d1e602,1
xcmzfsbd9t:c24-53,xcmzfsbd9t,cg_8367e6ae3aeb4760,1
xcmzfsbd9t:c24-54,xcmzfsbd9t,cg_4bbd0b41dabbddaa,0
xcmzfsbd9t:c24-55,xcmzfsbd9t,cg_8bb701ee689c281b,2
xcmzfsbd9t:c24-57,xcmzfsbd9t,cg_9a50ae333271a9a0,1
xcmzfsbd9t:c24-58,xcmzfsbd9t,cg_7172e82577bd2221,1
xcmzfsbd9t:c24-59,xcmzfsbd9t,cg_252dd46f78b2b01c,1
xcmzfsbd9t:c24-6t,xcmzfsbd9t,cg_35c6fccda4bd7213,0
xcmzfsbd9t:c24-8,xcmzfsbd9t,cg_3d3acefaf6e1e216,2
xcmzfsbd9t:c24-9,xcmzfsbd9t,cg_3d3acefaf6e1e216,2
yfxyg8jm46:c16-1,yfxyg8jm46,cg_d281b78be1cad77d,2
yfxyg8jm46:c16-11,yfxyg8jm46,cg_9a04d3b55336cbf2,1
yfxyg8jm46:c16-13,yfxyg8jm46,cg_47ef3b3d17845087,1
yfxyg8jm46:c16-18,yfxyg8jm46,cg_00c8cc426224e46a,0
yfxyg8jm46:c16-19,yfxyg8jm46,cg_f2be8a451c99348d,1
yfxyg8jm46:c16-2,yfxyg8jm46,cg_e5f1d6cda94fffb6,0
yfxyg8jm46:c16-20,yfxyg8jm46,cg_4b0a76b955d3af98,0
yfxyg8jm46:c16-21,yfxyg8jm46,cg_a9bd6ca9bdc223d8,0
yfxyg8jm46:c16-22,yfxyg8jm46,cg_ab99f29b7841149a,0
yfxyg8jm46:c16-25,yfxyg8jm46,cg_b446712153ee09a9,2
yfxyg8jm46:c16-27,yfxyg8jm46,cg_b48b43421997cf47,1
yfxyg8jm46:c16-29,yfxyg8jm46,cg_d085ebc6afab6fc1,0
yfxyg8jm46:c16-3,yfxyg8jm46,cg_365b15d46b3bc5a9,1
yfxyg8jm46:c16-30,yfxyg8jm46,cg_9ecd8f06026722c0,2
yfxyg8jm46:c16-33,yfxyg8jm46,cg_0eee2b99193cbaf3,0
yfxyg8jm46:c16-36,yfxyg8jm46,cg_4e315e32d98d4717,2
yfxyg8jm46:c16-37,yfxyg8jm46,cg_e64b483cd22dfdbe,2
yfxyg8jm46:c16-4,yfxyg8jm46,cg_b9476e7a1d3fb929,2
yfxyg8jm46:c16-40,yfxyg8jm46,cg_2ebe4aebb2175329,1
yfxyg8jm46:c16-41,yfxyg8jm46,cg_6522dc02c83d172a,0
yfxyg8jm46:c16-43,yfxyg8jm46,cg_1d554c668d98c3f0,1
yfxyg8jm46:c16-6,yfxyg8jm46,cg_0843879aa26d9903,2
yfxyg8jm46:c16-7,yfxyg8jm46,cg_cd9d2c55fc1934f0,0
yfxyg8jm46:c16-8,yfxyg8jm46,cg_41db68e464c56382,1
yfxyg8jm46:c16-9,yfxyg8jm46,cg_93f33bfe63f81922,2
ykhs7s2dck:q8-1,ykhs7s2dck,cg_2831154da4f80c90,2
ykhs7s2dck:q8-10,ykhs7s2dck,cg_7c087688e48afd32,2
ykhs7s2dck:q8-11,ykhs7s2dck,cg_c246f53d80031b42,1
ykhs7s2dck:q8-12,ykhs7s2dck,cg_2f44cdebbea84787,0
ykhs7s2dck:q8-13,ykhs7s2dck,cg_8f63e61953214730,1
ykhs7s2dck:q8-18,ykhs7s2dck,cg_80f3995d85aec222,0
ykhs7s2dck:q8-19,ykhs7s2dck,cg_4696afbc2610bbc5,1
ykhs7s2dck:q8-20,ykhs7s2dck,cg_d8206c4dc6841624,2
ykhs7s2dck:q8-21,ykhs7s2dck,cg_cb9ddd531891062a,1
ykhs7s2dck:q8-24,ykhs7s2dck,cg_07fcfc4ff6294626,2
ykhs7s2dck:q8-28,ykhs7s2dck,cg_590359ebcacda393,1
ykhs7s2dck:q8-29,ykhs7s2dck,cg_5a70e914b6471ba5,1
ykhs7s2dck:q8-3,ykhs7s2dck,cg_7b3e8dd7366a7945,2
ykhs7s2dck:q8-30,ykhs7s2dck,cg_3a606273fb0d889c,0
ykhs7s2dck:q8-32,ykhs7s2dck,cg_9abb06a21b6fa303,1
ykhs7s2dck:q8-35,ykhs7s2dck,cg_d76e2f1f8d5c42a6,0
ykhs7s2dck:q8-36,ykhs7s2dck,cg_1e1f16afe85f1a49,0
ykhs7s2dck:q8-39,ykhs7s2dck,cg_2a886fcf0043e52e,0
ykhs7s2dck:q8-41,ykhs7s2dck,cg_21ec55cc3074f4dc,2
ykhs7s2dck:q8-5,ykhs7s2dck,cg_566ef10dac88cac7,0
ykhs7s2dck:q8-7,ykhs7s2dck,cg_1fb4ac7aa3d962f6,0
ykhs7s2dck:q8-9,ykhs7s2dck,cg_65eb719cba763617,2
