specimen_key,dataset_id,dataset_version,specimen_id,capture_group_id,author_cai_mpa,label_source_path,label_source_sheet,label_source_cell,label_source_sha256,label_source_dataset_version,cscan_source_path,cscan_source_sha256,cscan_panel_index,registered_cscan_crop_path,registered_cscan_crop_sha256,registered_cscan_height_px,registered_cscan_width_px,impacted_surface_path,surface_sha256,identity_status,p0r_roster_status,v2_member,split
74t7kcdgkr:c8-19,74t7kcdgkr,1,c8-19,cg_436f4e4305ab635d,254.6500936806725,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C58,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-19.jpg,931df138e4de133d3afc58cfdff0ab867c0ab53e4af30f07fa3aaba72e833042,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-19.png,3e021ed85ba7b5f6664a410d373c67625fb30fe65f93387bfa98f0a151100008,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-19.png,1eb1caa9ea96baa33c52e4f3411c714991996620639480a3bf638acfb347b504,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TRAIN
74t7kcdgkr:c8-2,74t7kcdgkr,1,c8-2,cg_8ffe4fd6a878d7f3,163.8615940758297,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C17,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-2and3.jpg,41a09ef89a9353fe54596a9c42cbb7dc6681c3ca6efce0ff407330dd6a8e9b36,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-2.png,2a4636f95444c53278b22acdee76cf7123442ffbf310fb2b4700ca7b64f57954,338,340,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-2.png,fba37c14b99ff92f65675a2c8fb574d3cd7fb506cfd8178361e624381c9bfc0d,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,True,VALID
74t7kcdgkr:c8-20,74t7kcdgkr,1,c8-20,cg_fc2b47129dab53b5,209.1730625104266,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C59,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-20.jpg,47da22bc73dbb61f4ef2d54ba5d6f98cbd14f088d6702f233e4b818aef4450fa,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-20.png,89c9cccb85fc7dc6990631b0bc5dc1ccbca65acadfc261c9a53d4b4803804619,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-20.png,8f24fb36b7af0b5f7123d76c97e6e1bbe423a48e0c7a7599e91175a5ccc0972d,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,True,TRAIN
74t7kcdgkr:c8-21,74t7kcdgkr,1,c8-21,cg_49d6f1237b716b24,263.1039895965736,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C60,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-21.jpg,62c923192f12ca0716be2b0c0980a5239cc8960322b6658ff69ab866883fff4e,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-21.png,0242d92627e506c763859f498a6e0f4734f3cec576f154060e6b55f3e9594bf0,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-21.png,334ea0c49f7626f221e92014670ecbbc2eab0373a28017bf2facd33a5f0fc7a0,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,True,VALID
74t7kcdgkr:c8-22,74t7kcdgkr,1,c8-22,cg_b46906446d6551d5,272.7656416304013,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C61,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-22.jpg,64d65c73146ed11c9727ba1a19258f04dd39c20dff362e5d4e11c932d04059ae,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-22.png,72449713a844dc00d887b80beb89128d128360b0a348d56f5ed86f960a1decbf,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-22.png,2026cfc1c6ab67bd5747beb82f865ba504312de6c6bc3da8a35ac98428b7306c,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TEST
74t7kcdgkr:c8-23,74t7kcdgkr,1,c8-23,cg_5664e5fd63a64397,262.4040932275472,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C62,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-23.jpg,2ddf3941c55e1dff110a5d91a246d1a01e1de9f6913502e093114ee2e7a6c81a,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-23.png,c40a82ffa3d70161a862fe223e51ce9e64f22b5215c68c330f5c70cfdfc52204,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-23.png,a61eebadb40109142b8e617c65758734f821c0cf1e888e95050b0324638260f9,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TRAIN
74t7kcdgkr:c8-24,74t7kcdgkr,1,c8-24,cg_9393eeb13d9e0e91,259.85022005159,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C63,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-24.jpg,e7deccd0cbc7fcf8ec061885ab0bb57bd6b019dbfa366f0f590204bc82b931a3,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-24.png,39f519201158d464808bea9e455af79bc2c2d747a694dc0bc3f3b48bea77a355,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-24.png,24e38e280270b8ecc32da327dc06f0f1c88be32a8481e4885a2a07d203d3cc22,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,True,TEST
74t7kcdgkr:c8-25,74t7kcdgkr,1,c8-25,cg_3b33997b939ad827,269.5171308230499,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C94,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-25.jpg,9f582206a9ae203b7419c43c5548640568137a41a924b526ee2c0f295b23d157,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-25.png,d47d110fd874cb7e4d43fee4ef0c2f552f449bc3c349da382148b25fa3a3529a,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-25.png,04bf38f0af77606bb6c58205ba4b04119eea06c06dce5c9d3b08c10c0b4abc28,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TRAIN
74t7kcdgkr:c8-26,74t7kcdgkr,1,c8-26,cg_7cd21ddf912f3237,271.9633956905797,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C95,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-26.jpg,7c955e57ac19ae74e48276f27c225b0a2f0cd79ad8a96e9f19c8cc467e6c05c5,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-26.png,059b1f52a71da61747b4a5d5dd286e2524edc34c7f6a37145c0c6e36ab668ba2,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-26.png,9f36e3dfc047806d190e6e32852134770bd2446d32a0b9dcb7dfbca5539f5d75,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TRAIN
74t7kcdgkr:c8-27,74t7kcdgkr,1,c8-27,cg_a60263adbdce1bca,260.1399524079116,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C96,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-27.jpg,9215383c8d006746682b947166eba22ba3077840bddd9f255a107ade02f6c2d0,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-27.png,3b880ac4fd2077eb152973bcc8bdcf58fb41027119fb805a04fa653e2d943fa7,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-27.png,9ba59ca7334a7d47d3ba3346652a548999ced0e75a4e6f22f45efb3b79dcc14b,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TEST
74t7kcdgkr:c8-28,74t7kcdgkr,1,c8-28,cg_a983245f10699099,282.8260906114969,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C97,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-28.jpg,dd0c149bf78971bff3c504dbbc251dd0b5c078275e1f7b3899f056c99089ced1,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-28.png,b681873337e1d403ccfc399b975c6b86218ae5f3173e6a915ed0b6e6c703ca58,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-28.png,88c759c306fbcfde44966073f4366b83a49eeb04be63844ac732a71e41647bb2,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,True,VALID
74t7kcdgkr:c8-29,74t7kcdgkr,1,c8-29,cg_ff1326048205fdc3,274.0451959676628,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C98,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-29.jpg,fccd816e4fa4f157e18a9dd64e90e9406c309c539be612068b1a2512048e98c2,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-29.png,1064f6f9e13dd456bb48cc6ae4936d4a6005fedcb0c4c76435b55c1f7da19c13,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-29.png,48e14acb8e76fedd11280efebf17eb4f7aa6bc26844b744b333a0d895425e243,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TRAIN
74t7kcdgkr:c8-3,74t7kcdgkr,1,c8-3,cg_8ffe4fd6a878d7f3,213.0992747395474,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C18,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-2and3.jpg,41a09ef89a9353fe54596a9c42cbb7dc6681c3ca6efce0ff407330dd6a8e9b36,1,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-3.png,e6e77cc9b13aa9321d2bf77103474c08b9c88d9a3ab037008ef010c1cb5896a7,338,352,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-3.png,3ddb8fff5dbcb67fad212458e2d60e95c8c26b3d2e143ca4ed782e8419577ebb,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,VALID
74t7kcdgkr:c8-30,74t7kcdgkr,1,c8-30,cg_9c9387dce9e35a94,274.6988259415933,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C99,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-30.jpg,52ddc4383fda9d32417c940ec25a126a39e874b445d6a6d1ca234ca1e1978770,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-30.png,7d6b21883ce821d3c8cc4cf4263545e744b39970a5998edf971e8a675dba1586,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-30.png,d0d0dab2dae10def0e0020a5158a6ce1a929d3426eb624ae8b4b8958a2c7e867,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TEST
74t7kcdgkr:c8-32,74t7kcdgkr,1,c8-32,cg_ba578a95be7f383b,193.220193067167,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C196,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-32.jpg,7d00fda6baf5c6fdb8613d44406a93241844293dbe8c09c82158781887f273ba,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-32.png,aa675f7abf8ffd3a3dac0b18269610f240a4fb21a7be6fe0b9423ac8f2ea599a,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-32.png,a1d192e4505390bea1cd49410aae84b4ada33f656124ab904f91ec2a7200b60e,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,True,TRAIN
74t7kcdgkr:c8-33,74t7kcdgkr,1,c8-33,cg_2508a9d6037ebb4d,193.6115527972501,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C197,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-33.jpg,40fe015dbad0b9930abb6df747e66df4b325be1bb42ec3c2663eac5c1cf2025c,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-33.png,3f6b7a660634ef09530460b0cafa7fbe82426f635667b554cfd1c0d70ce7e037,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-33.png,823b6f5c9ea96e166fdf39057176eb352ad1eed0e39f2694f1169491abb917af,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TRAIN
74t7kcdgkr:c8-34,74t7kcdgkr,1,c8-34,cg_df8537af42eeb5c9,212.6334580022977,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C198,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-34.jpg,694c2a62d2aa2ade5d5e1ede368964a02f3cb196d3411a77c7246e415d836c0c,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-34.png,64b4e82a60948c242f6b3a14780755bebec469e9df4acf900426644c634736da,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-34.png,b56fe29ff98b91801ed5c1455008a9ec40699aa50e66496c4dbac3f199bc7f73,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TRAIN
74t7kcdgkr:c8-35,74t7kcdgkr,1,c8-35,cg_aaeec4f3370a0403,182.7507942064879,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C199,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-35.jpg,2b0c8438d49856fd9afb4140cb4cfd510e65d7c77a891b8001883681395905c0,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-35.png,d39af242aee2534dd7316a5f03497bd4287977d173ddff3cb36934e59ef1200d,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-35.png,4297ed114af786ac2025ac76cc4a52f163ab77a56d3c1e56abc36476a712c2b3,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TEST
74t7kcdgkr:c8-36,74t7kcdgkr,1,c8-36,cg_e40bd92cc201b5b1,175.8122184207168,data/public/hasebe_cai/raw/8scdmfdcfb/v3/5_Compression after impact strength/Compression after impact strength_v0.2.xlsx,CAI strength,C200,0de44feca06294c33f2c6bc98ce6e9a8035476ff8fbef21d29f852e820cf4e2d,3,data/public/hasebe/raw/74t7kcdgkr/v1/internal damage/c8-36.jpg,5c9d96dc634d8c51cc1609572a22fc6747abb65b587b2ab3f4429d6409bd8fe7,0,data/public/hasebe/processed/74t7kcdgkr/internal_cscan/c8-36.png,3b389d7edf5262c7ca9a0c1d090b9ede28a84642d80a952412b8a997a0389467,674,675,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-36.png,ddd582c5d6690b5ee05e92f9fe5af2ad2f875d38f759cb8eea5a431bf77eaa41,PASS_EXACT_SPECIMEN_ID_AND_HASH,AUTHORIZED,False,TRAIN
