specimen_key,dataset_id,specimen_id,capture_group_id,split,v2_member
74t7kcdgkr:c8-37,74t7kcdgkr,c8-37,cg_d51f959f9fc3ad64,TRAIN,False
74t7kcdgkr:c8-38,74t7kcdgkr,c8-38,cg_c20c19e9f931f066,TRAIN,False
74t7kcdgkr:c8-39,74t7kcdgkr,c8-39,cg_ff43edde8af2ccdb,VALID,False
74t7kcdgkr:c8-4,74t7kcdgkr,c8-4,cg_d81253dd53a5a063,TEST,False
74t7kcdgkr:c8-40,74t7kcdgkr,c8-40,cg_c8f844619a69041e,TRAIN,False
74t7kcdgkr:c8-41,74t7kcdgkr,c8-41,cg_ee56faa339a830f2,TRAIN,True
74t7kcdgkr:c8-42,74t7kcdgkr,c8-42,cg_f3946cf7fb331808,TRAIN,False
74t7kcdgkr:c8-43,74t7kcdgkr,c8-43,cg_a37dc8a00cc334eb,VALID,False
74t7kcdgkr:c8-5,74t7kcdgkr,c8-5,cg_248d232f49968f87,TRAIN,True
74t7kcdgkr:c8-6,74t7kcdgkr,c8-6,cg_248d232f49968f87,TRAIN,False
74t7kcdgkr:c8-6t,74t7kcdgkr,c8-6t,cg_c57502d3d6e71642,TRAIN,False
74t7kcdgkr:c8-7,74t7kcdgkr,c8-7,cg_dddfa79b65fe4ec3,TRAIN,True
74t7kcdgkr:c8-8,74t7kcdgkr,c8-8,cg_ec0381497121b762,TEST,False
74t7kcdgkr:c8-8t,74t7kcdgkr,c8-8t,cg_d4f3118bb7e2d7ed,TRAIN,False
74t7kcdgkr:c8-9,74t7kcdgkr,c8-9,cg_ec0381497121b762,TEST,False
74t7kcdgkr:c8-9t,74t7kcdgkr,c8-9t,cg_cdb4a4408962ed94,TRAIN,False
cgtnjyggtm:q24-1,cgtnjyggtm,q24-1,cg_a9c69cfd0b94636f,TRAIN,False
cgtnjyggtm:q24-10,cgtnjyggtm,q24-10,cg_c7bb1ae164d80b87,TRAIN,False
cgtnjyggtm:q24-11,cgtnjyggtm,q24-11,cg_02fd3fc8caefe377,VALID,False
cgtnjyggtm:q24-12,cgtnjyggtm,q24-12,cg_25e67d3eaab70702,TEST,False
cgtnjyggtm:q24-13,cgtnjyggtm,q24-13,cg_3c15c48ecc575afe,TRAIN,False
cgtnjyggtm:q24-14,cgtnjyggtm,q24-14,cg_c31d4e997c2197f8,TRAIN,False
cgtnjyggtm:q24-15,cgtnjyggtm,q24-15,cg_003861894521c128,TEST,False
cgtnjyggtm:q24-16,cgtnjyggtm,q24-16,cg_fccf8615a33c38b5,TEST,True
cgtnjyggtm:q24-18,cgtnjyggtm,q24-18,cg_3b02cbdaed332c2a,TRAIN,True
cgtnjyggtm:q24-19,cgtnjyggtm,q24-19,cg_c43cb6d57d3853d5,TRAIN,False
cgtnjyggtm:q24-2,cgtnjyggtm,q24-2,cg_6a8e1757d1cd64cd,TRAIN,False
cgtnjyggtm:q24-20,cgtnjyggtm,q24-20,cg_4781c370ac35071e,TRAIN,False
cgtnjyggtm:q24-21,cgtnjyggtm,q24-21,cg_917c268be973b24f,TEST,True
cgtnjyggtm:q24-22,cgtnjyggtm,q24-22,cg_54890e18ff2b2669,VALID,False
cgtnjyggtm:q24-23,cgtnjyggtm,q24-23,cg_098fbb1ed849587c,TEST,False
cgtnjyggtm:q24-24,cgtnjyggtm,q24-24,cg_39bf4ddc679c9a42,VALID,False
cgtnjyggtm:q24-25,cgtnjyggtm,q24-25,cg_241a1cf0a8e43b49,TRAIN,False
cgtnjyggtm:q24-26,cgtnjyggtm,q24-26,cg_225d073ef5169f15,TRAIN,False
cgtnjyggtm:q24-27,cgtnjyggtm,q24-27,cg_faa7a17d46bbd1ca,TRAIN,False
cgtnjyggtm:q24-28,cgtnjyggtm,q24-28,cg_a2239c04e156c8f3,TRAIN,False
cgtnjyggtm:q24-29,cgtnjyggtm,q24-29,cg_31448f2fd1bc6ab6,TRAIN,True
cgtnjyggtm:q24-3,cgtnjyggtm,q24-3,cg_5b69034f62b69fc9,TEST,False
cgtnjyggtm:q24-30,cgtnjyggtm,q24-30,cg_d3f7feef05d5a66a,VALID,True
cgtnjyggtm:q24-31,cgtnjyggtm,q24-31,cg_f356cc1b85a729ea,TRAIN,False
cgtnjyggtm:q24-32,cgtnjyggtm,q24-32,cg_7375d6f850c5f9e2,TRAIN,True
cgtnjyggtm:q24-33,cgtnjyggtm,q24-33,cg_1f3b65d59663f9df,TRAIN,False
cgtnjyggtm:q24-34,cgtnjyggtm,q24-34,cg_aab0af98da0c94eb,TRAIN,False
cgtnjyggtm:q24-35,cgtnjyggtm,q24-35,cg_9d3e21ecc71254ab,TEST,False
cgtnjyggtm:q24-36,cgtnjyggtm,q24-36,cg_8ded265eacf6da35,TEST,False
cgtnjyggtm:q24-37,cgtnjyggtm,q24-37,cg_2ee766de56118a33,TRAIN,True
cgtnjyggtm:q24-38,cgtnjyggtm,q24-38,cg_32c339f0600cd27f,TRAIN,False
cgtnjyggtm:q24-39,cgtnjyggtm,q24-39,cg_896e5f13aa312abe,TRAIN,False
cgtnjyggtm:q24-4,cgtnjyggtm,q24-4,cg_053985a8e4f43e0b,TRAIN,True
cgtnjyggtm:q24-40,cgtnjyggtm,q24-40,cg_46b4adef6a8c88f3,TRAIN,True
cgtnjyggtm:q24-41,cgtnjyggtm,q24-41,cg_2d9148e727ec29ab,TRAIN,False
cgtnjyggtm:q24-42,cgtnjyggtm,q24-42,cg_0564124a9aaf940a,TEST,False
cgtnjyggtm:q24-43,cgtnjyggtm,q24-43,cg_8ae141d34a973d38,TEST,False
cgtnjyggtm:q24-44,cgtnjyggtm,q24-44,cg_9ba3cd5fb00ea91f,VALID,False
cgtnjyggtm:q24-45,cgtnjyggtm,q24-45,cg_45fc094d021659f8,TRAIN,False
cgtnjyggtm:q24-46,cgtnjyggtm,q24-46,cg_6bfdaced7d2b5bf3,TRAIN,False
cgtnjyggtm:q24-47,cgtnjyggtm,q24-47,cg_523711040788bde2,VALID,False
cgtnjyggtm:q24-48,cgtnjyggtm,q24-48,cg_5549ad4618fa66a9,VALID,False
cgtnjyggtm:q24-49,cgtnjyggtm,q24-49,cg_be3b8fef53d315d4,TRAIN,False
cgtnjyggtm:q24-5,cgtnjyggtm,q24-5,cg_da21dc6f10d1d990,TRAIN,False
cgtnjyggtm:q24-50,cgtnjyggtm,q24-50,cg_4a5dcff4719c1cd6,TEST,False
cgtnjyggtm:q24-6,cgtnjyggtm,q24-6,cg_344fc945dcb88757,VALID,False
cgtnjyggtm:q24-7,cgtnjyggtm,q24-7,cg_f9918011ab7eff31,TRAIN,False
cgtnjyggtm:q24-8,cgtnjyggtm,q24-8,cg_8f0a2752732889f6,TRAIN,True
cgtnjyggtm:q24-9,cgtnjyggtm,q24-9,cg_2cc9cac1c5baaf14,VALID,False
w68dtmpfyf:q16-1,w68dtmpfyf,q16-1,cg_fb02413e59ce6155,TRAIN,False
w68dtmpfyf:q16-10,w68dtmpfyf,q16-10,cg_c2c7ddd46655ba56,TRAIN,False
w68dtmpfyf:q16-11,w68dtmpfyf,q16-11,cg_6f2222eb2dc4bdd5,TEST,False
w68dtmpfyf:q16-12,w68dtmpfyf,q16-12,cg_8e2db126e74b8a90,TRAIN,True
w68dtmpfyf:q16-13,w68dtmpfyf,q16-13,cg_c43bd35a9605eabd,TEST,False
w68dtmpfyf:q16-14,w68dtmpfyf,q16-14,cg_73ef27ab04a735de,VALID,False
w68dtmpfyf:q16-15,w68dtmpfyf,q16-15,cg_ede3ed06d2ade72f,TEST,False
w68dtmpfyf:q16-16,w68dtmpfyf,q16-16,cg_a9d5feb41d10160a,TRAIN,False
w68dtmpfyf:q16-17,w68dtmpfyf,q16-17,cg_ea926073d033193e,TRAIN,False
w68dtmpfyf:q16-18,w68dtmpfyf,q16-18,cg_cbeef69360e157fa,TEST,False
w68dtmpfyf:q16-19,w68dtmpfyf,q16-19,cg_09f55d59cd17f987,TRAIN,False
w68dtmpfyf:q16-2,w68dtmpfyf,q16-2,cg_ff2d01cab2de3ddc,VALID,False
w68dtmpfyf:q16-20,w68dtmpfyf,q16-20,cg_a1b1130097acb8c4,TRAIN,False
w68dtmpfyf:q16-21,w68dtmpfyf,q16-21,cg_d77344d187a3267b,TRAIN,True
w68dtmpfyf:q16-22,w68dtmpfyf,q16-22,cg_f845bc31bfb448b3,TRAIN,True
w68dtmpfyf:q16-23,w68dtmpfyf,q16-23,cg_bed783d957d292db,TRAIN,True
w68dtmpfyf:q16-24,w68dtmpfyf,q16-24,cg_191d78c680a8349d,TEST,True
w68dtmpfyf:q16-25,w68dtmpfyf,q16-25,cg_a9543db699c1695c,TEST,False
w68dtmpfyf:q16-26,w68dtmpfyf,q16-26,cg_44520703869fedb6,TRAIN,False
w68dtmpfyf:q16-27,w68dtmpfyf,q16-27,cg_571056aab3ab6ab7,TRAIN,False
w68dtmpfyf:q16-28,w68dtmpfyf,q16-28,cg_9a47b6fd1b35c788,TEST,False
w68dtmpfyf:q16-29,w68dtmpfyf,q16-29,cg_94a031a5fc453cba,VALID,False
w68dtmpfyf:q16-3,w68dtmpfyf,q16-3,cg_3361913654df8b27,VALID,True
w68dtmpfyf:q16-30,w68dtmpfyf,q16-30,cg_bee5ab8a92b4af70,TRAIN,False
w68dtmpfyf:q16-31,w68dtmpfyf,q16-31,cg_9c54f63456cd338f,TRAIN,True
w68dtmpfyf:q16-32,w68dtmpfyf,q16-32,cg_09796b91b91be056,TRAIN,True
w68dtmpfyf:q16-33,w68dtmpfyf,q16-33,cg_a37eab4f5b7beb12,VALID,False
w68dtmpfyf:q16-34,w68dtmpfyf,q16-34,cg_e0934f3f68a405b2,TRAIN,False
w68dtmpfyf:q16-35,w68dtmpfyf,q16-35,cg_a71ba584dc3f4edb,TRAIN,False
w68dtmpfyf:q16-36,w68dtmpfyf,q16-36,cg_74361971d6b32cf7,TRAIN,True
w68dtmpfyf:q16-37,w68dtmpfyf,q16-37,cg_3fb8cff46ea6c70d,TRAIN,False
w68dtmpfyf:q16-38,w68dtmpfyf,q16-38,cg_a052ba6f5200ee4f,VALID,False
w68dtmpfyf:q16-39,w68dtmpfyf,q16-39,cg_2704358c670e7e0e,TEST,False
w68dtmpfyf:q16-4,w68dtmpfyf,q16-4,cg_47020ca01ed73676,TEST,False
w68dtmpfyf:q16-40,w68dtmpfyf,q16-40,cg_66341cccfb649c4a,TRAIN,False
w68dtmpfyf:q16-41,w68dtmpfyf,q16-41,cg_cd27206d68daeed1,TRAIN,False
w68dtmpfyf:q16-42,w68dtmpfyf,q16-42,cg_b9ba7d2b16c5c8bd,TRAIN,True
w68dtmpfyf:q16-43,w68dtmpfyf,q16-43,cg_6853c8e74a68016b,VALID,False
w68dtmpfyf:q16-5,w68dtmpfyf,q16-5,cg_1e0ead7a1e7bebd6,TEST,False
w68dtmpfyf:q16-6,w68dtmpfyf,q16-6,cg_ce4d6a48a6968060,VALID,False
w68dtmpfyf:q16-7,w68dtmpfyf,q16-7,cg_fe3d068420d48e8b,TRAIN,False
w68dtmpfyf:q16-8,w68dtmpfyf,q16-8,cg_6bcfd189af907c0c,TRAIN,False
w68dtmpfyf:q16-9,w68dtmpfyf,q16-9,cg_7e1cbf3933431b29,TRAIN,False
xcmzfsbd9t:c24-10,xcmzfsbd9t,c24-10,cg_1c17e0b8b32715a3,TEST,False
xcmzfsbd9t:c24-10t,xcmzfsbd9t,c24-10t,cg_8290fb6d5ece9a60,TEST,False
xcmzfsbd9t:c24-11,xcmzfsbd9t,c24-11,cg_9f8ddbd1ceadb512,TEST,False
xcmzfsbd9t:c24-11t,xcmzfsbd9t,c24-11t,cg_0fca9fe6e18bf882,TRAIN,True
xcmzfsbd9t:c24-12,xcmzfsbd9t,c24-12,cg_9f8ddbd1ceadb512,TEST,False
xcmzfsbd9t:c24-12t,xcmzfsbd9t,c24-12t,cg_d19944516222178d,TEST,False
xcmzfsbd9t:c24-13,xcmzfsbd9t,c24-13,cg_eddeeb21a82f999f,TRAIN,False
xcmzfsbd9t:c24-14,xcmzfsbd9t,c24-14,cg_b872766beb8f3792,TRAIN,False
xcmzfsbd9t:c24-15,xcmzfsbd9t,c24-15,cg_b872766beb8f3792,TRAIN,False
xcmzfsbd9t:c24-16,xcmzfsbd9t,c24-16,cg_eddeeb21a82f999f,TRAIN,False
xcmzfsbd9t:c24-17,xcmzfsbd9t,c24-17,cg_8419606a48868b93,TRAIN,False
xcmzfsbd9t:c24-18,xcmzfsbd9t,c24-18,cg_8419606a48868b93,TRAIN,False
xcmzfsbd9t:c24-2,xcmzfsbd9t,c24-2,cg_b26d1c908a126477,TRAIN,False
xcmzfsbd9t:c24-20,xcmzfsbd9t,c24-20,cg_4727e52185e52b61,TRAIN,True
xcmzfsbd9t:c24-21,xcmzfsbd9t,c24-21,cg_4727e52185e52b61,TRAIN,False
xcmzfsbd9t:c24-24,xcmzfsbd9t,c24-24,cg_87ebe583a77701dc,TEST,False
xcmzfsbd9t:c24-25,xcmzfsbd9t,c24-25,cg_87ebe583a77701dc,TEST,False
xcmzfsbd9t:c24-26,xcmzfsbd9t,c24-26,cg_3d4777af33de9c8f,TRAIN,False
xcmzfsbd9t:c24-27,xcmzfsbd9t,c24-27,cg_c8d497ef27ca01c9,TRAIN,True
xcmzfsbd9t:c24-28,xcmzfsbd9t,c24-28,cg_cbe14d4757bc8508,TEST,False
xcmzfsbd9t:c24-29,xcmzfsbd9t,c24-29,cg_c5e38dcecd92c3b3,TEST,False
xcmzfsbd9t:c24-3,xcmzfsbd9t,c24-3,cg_b26d1c908a126477,TRAIN,False
xcmzfsbd9t:c24-30,xcmzfsbd9t,c24-30,cg_287f1ab311b9a3fc,TRAIN,False
xcmzfsbd9t:c24-31,xcmzfsbd9t,c24-31,cg_b871003b324014e0,TRAIN,False
xcmzfsbd9t:c24-32,xcmzfsbd9t,c24-32,cg_df0149471a6f6eb9,TRAIN,False
xcmzfsbd9t:c24-33,xcmzfsbd9t,c24-33,cg_bae44bd265c2b529,TRAIN,True
xcmzfsbd9t:c24-34,xcmzfsbd9t,c24-34,cg_c1e922e11ce3c535,TRAIN,False
xcmzfsbd9t:c24-35,xcmzfsbd9t,c24-35,cg_86f62e75401997ee,TEST,False
xcmzfsbd9t:c24-36,xcmzfsbd9t,c24-36,cg_a697416f8a2ecce8,TEST,False
xcmzfsbd9t:c24-37,xcmzfsbd9t,c24-37,cg_a01963fde121eda0,VALID,True
xcmzfsbd9t:c24-39,xcmzfsbd9t,c24-39,cg_d72ecf3171227da2,VALID,True
xcmzfsbd9t:c24-40,xcmzfsbd9t,c24-40,cg_ffa89c87722d7ea3,TRAIN,False
xcmzfsbd9t:c24-41,xcmzfsbd9t,c24-41,cg_9d693d0cc70dde01,TRAIN,False
xcmzfsbd9t:c24-42,xcmzfsbd9t,c24-42,cg_a5c5defb812088ae,VALID,False
xcmzfsbd9t:c24-43,xcmzfsbd9t,c24-43,cg_af6c8dc793b64fe8,TRAIN,True
xcmzfsbd9t:c24-44,xcmzfsbd9t,c24-44,cg_c64bbe37afea4d0f,TRAIN,False
xcmzfsbd9t:c24-45,xcmzfsbd9t,c24-45,cg_42a8b494f17e6332,TRAIN,False
xcmzfsbd9t:c24-46,xcmzfsbd9t,c24-46,cg_438165d9faa530d5,TRAIN,False
xcmzfsbd9t:c24-47,xcmzfsbd9t,c24-47,cg_954e3ed61c8db0a4,VALID,False
xcmzfsbd9t:c24-48,xcmzfsbd9t,c24-48,cg_2d68d9e958d79557,TRAIN,False
xcmzfsbd9t:c24-49,xcmzfsbd9t,c24-49,cg_a8a8394768d1e602,TRAIN,True
xcmzfsbd9t:c24-5,xcmzfsbd9t,c24-5,cg_90192b83e45699a9,TEST,False
xcmzfsbd9t:c24-50,xcmzfsbd9t,c24-50,cg_59e95410b683945f,VALID,False
xcmzfsbd9t:c24-51,xcmzfsbd9t,c24-51,cg_7e1c8f7865d73e78,VALID,False
xcmzfsbd9t:c24-52,xcmzfsbd9t,c24-52,cg_b98b3f9ca1bfb997,VALID,False
xcmzfsbd9t:c24-53,xcmzfsbd9t,c24-53,cg_8367e6ae3aeb4760,TRAIN,False
xcmzfsbd9t:c24-54,xcmzfsbd9t,c24-54,cg_4bbd0b41dabbddaa,TRAIN,True
xcmzfsbd9t:c24-55,xcmzfsbd9t,c24-55,cg_8bb701ee689c281b,TRAIN,False
xcmzfsbd9t:c24-56,xcmzfsbd9t,c24-56,cg_06ec34425b30c2e6,VALID,False
xcmzfsbd9t:c24-57,xcmzfsbd9t,c24-57,cg_9a50ae333271a9a0,TRAIN,False
xcmzfsbd9t:c24-58,xcmzfsbd9t,c24-58,cg_7172e82577bd2221,TRAIN,False
xcmzfsbd9t:c24-59,xcmzfsbd9t,c24-59,cg_252dd46f78b2b01c,TRAIN,False
xcmzfsbd9t:c24-6,xcmzfsbd9t,c24-6,cg_90192b83e45699a9,TEST,False
xcmzfsbd9t:c24-6t,xcmzfsbd9t,c24-6t,cg_35c6fccda4bd7213,TRAIN,False
xcmzfsbd9t:c24-7,xcmzfsbd9t,c24-7,cg_1c17e0b8b32715a3,TEST,False
xcmzfsbd9t:c24-8,xcmzfsbd9t,c24-8,cg_3d3acefaf6e1e216,TRAIN,False
xcmzfsbd9t:c24-8t,xcmzfsbd9t,c24-8t,cg_6938bb52fa481ecc,TEST,False
xcmzfsbd9t:c24-9,xcmzfsbd9t,c24-9,cg_3d3acefaf6e1e216,TRAIN,False
xcmzfsbd9t:c24-9t,xcmzfsbd9t,c24-9t,cg_0d1994d0164384d4,VALID,True
yfxyg8jm46:c16-1,yfxyg8jm46,c16-1,cg_d281b78be1cad77d,TRAIN,False
yfxyg8jm46:c16-10,yfxyg8jm46,c16-10,cg_8481afc98858df66,TEST,False
yfxyg8jm46:c16-11,yfxyg8jm46,c16-11,cg_9a04d3b55336cbf2,TRAIN,False
yfxyg8jm46:c16-12,yfxyg8jm46,c16-12,cg_5a80e5179694ff19,VALID,True
yfxyg8jm46:c16-13,yfxyg8jm46,c16-13,cg_47ef3b3d17845087,TRAIN,False
yfxyg8jm46:c16-14,yfxyg8jm46,c16-14,cg_efd8928c6d17de81,VALID,False
yfxyg8jm46:c16-15,yfxyg8jm46,c16-15,cg_e22d527e3f5372f4,TEST,True
yfxyg8jm46:c16-16,yfxyg8jm46,c16-16,cg_cd055af98e2ea119,VALID,True
yfxyg8jm46:c16-17,yfxyg8jm46,c16-17,cg_f64812b6759e7d2b,VALID,False
yfxyg8jm46:c16-18,yfxyg8jm46,c16-18,cg_00c8cc426224e46a,TRAIN,True
yfxyg8jm46:c16-19,yfxyg8jm46,c16-19,cg_f2be8a451c99348d,TRAIN,True
yfxyg8jm46:c16-2,yfxyg8jm46,c16-2,cg_e5f1d6cda94fffb6,TRAIN,False
yfxyg8jm46:c16-20,yfxyg8jm46,c16-20,cg_4b0a76b955d3af98,TRAIN,False
yfxyg8jm46:c16-21,yfxyg8jm46,c16-21,cg_a9bd6ca9bdc223d8,TRAIN,False
yfxyg8jm46:c16-22,yfxyg8jm46,c16-22,cg_ab99f29b7841149a,TRAIN,False
yfxyg8jm46:c16-23,yfxyg8jm46,c16-23,cg_f5e55e9a56e24e6d,TEST,False
yfxyg8jm46:c16-24,yfxyg8jm46,c16-24,cg_354aea2e84731e86,VALID,False
yfxyg8jm46:c16-25,yfxyg8jm46,c16-25,cg_b446712153ee09a9,TRAIN,False
yfxyg8jm46:c16-26,yfxyg8jm46,c16-26,cg_ae649a082db78cdf,TEST,False
yfxyg8jm46:c16-27,yfxyg8jm46,c16-27,cg_b48b43421997cf47,TRAIN,False
yfxyg8jm46:c16-28,yfxyg8jm46,c16-28,cg_aa4fe5a66c1a7cbc,TEST,False
yfxyg8jm46:c16-29,yfxyg8jm46,c16-29,cg_d085ebc6afab6fc1,TRAIN,False
yfxyg8jm46:c16-3,yfxyg8jm46,c16-3,cg_365b15d46b3bc5a9,TRAIN,False
yfxyg8jm46:c16-30,yfxyg8jm46,c16-30,cg_9ecd8f06026722c0,TRAIN,True
yfxyg8jm46:c16-32,yfxyg8jm46,c16-32,cg_1faa0f56583da058,TEST,False
yfxyg8jm46:c16-33,yfxyg8jm46,c16-33,cg_0eee2b99193cbaf3,TRAIN,False
yfxyg8jm46:c16-34,yfxyg8jm46,c16-34,cg_54117e0fb7aa13a1,TEST,False
yfxyg8jm46:c16-35,yfxyg8jm46,c16-35,cg_3fa684f0752095da,TEST,True
yfxyg8jm46:c16-36,yfxyg8jm46,c16-36,cg_4e315e32d98d4717,TRAIN,False
yfxyg8jm46:c16-37,yfxyg8jm46,c16-37,cg_e64b483cd22dfdbe,TRAIN,False
yfxyg8jm46:c16-38,yfxyg8jm46,c16-38,cg_49a8729e5e33e69f,TEST,True
yfxyg8jm46:c16-39,yfxyg8jm46,c16-39,cg_514ca9d914207c05,VALID,False
yfxyg8jm46:c16-4,yfxyg8jm46,c16-4,cg_b9476e7a1d3fb929,TRAIN,True
yfxyg8jm46:c16-40,yfxyg8jm46,c16-40,cg_2ebe4aebb2175329,TRAIN,False
yfxyg8jm46:c16-41,yfxyg8jm46,c16-41,cg_6522dc02c83d172a,TRAIN,False
yfxyg8jm46:c16-42,yfxyg8jm46,c16-42,cg_cb9c6f640f08aee7,VALID,True
yfxyg8jm46:c16-43,yfxyg8jm46,c16-43,cg_1d554c668d98c3f0,TRAIN,False
yfxyg8jm46:c16-5,yfxyg8jm46,c16-5,cg_7f9fe4a18a151cd4,VALID,False
yfxyg8jm46:c16-6,yfxyg8jm46,c16-6,cg_0843879aa26d9903,TRAIN,False
yfxyg8jm46:c16-7,yfxyg8jm46,c16-7,cg_cd9d2c55fc1934f0,TRAIN,False
yfxyg8jm46:c16-8,yfxyg8jm46,c16-8,cg_41db68e464c56382,TRAIN,False
yfxyg8jm46:c16-9,yfxyg8jm46,c16-9,cg_93f33bfe63f81922,TRAIN,False
ykhs7s2dck:q8-1,ykhs7s2dck,q8-1,cg_2831154da4f80c90,TRAIN,False
ykhs7s2dck:q8-10,ykhs7s2dck,q8-10,cg_7c087688e48afd32,TRAIN,False
ykhs7s2dck:q8-11,ykhs7s2dck,q8-11,cg_c246f53d80031b42,TRAIN,True
ykhs7s2dck:q8-12,ykhs7s2dck,q8-12,cg_2f44cdebbea84787,TRAIN,False
ykhs7s2dck:q8-13,ykhs7s2dck,q8-13,cg_8f63e61953214730,TRAIN,False
ykhs7s2dck:q8-14,ykhs7s2dck,q8-14,cg_a8cb9f4151ae98ca,TEST,True
ykhs7s2dck:q8-15,ykhs7s2dck,q8-15,cg_60c6812942ba2332,VALID,False
ykhs7s2dck:q8-16,ykhs7s2dck,q8-16,cg_d63b254d48e6fc62,TEST,False
ykhs7s2dck:q8-18,ykhs7s2dck,q8-18,cg_80f3995d85aec222,TRAIN,False
ykhs7s2dck:q8-19,ykhs7s2dck,q8-19,cg_4696afbc2610bbc5,TRAIN,True
ykhs7s2dck:q8-2,ykhs7s2dck,q8-2,cg_93e604617899fa5f,VALID,False
ykhs7s2dck:q8-20,ykhs7s2dck,q8-20,cg_d8206c4dc6841624,TRAIN,False
ykhs7s2dck:q8-21,ykhs7s2dck,q8-21,cg_cb9ddd531891062a,TRAIN,False
ykhs7s2dck:q8-22,ykhs7s2dck,q8-22,cg_ca08b9786e924e66,VALID,False
ykhs7s2dck:q8-23,ykhs7s2dck,q8-23,cg_3bb66e6f43880676,TEST,False
ykhs7s2dck:q8-24,ykhs7s2dck,q8-24,cg_07fcfc4ff6294626,TRAIN,False
ykhs7s2dck:q8-27,ykhs7s2dck,q8-27,cg_060c49d6efef51ca,TEST,False
ykhs7s2dck:q8-28,ykhs7s2dck,q8-28,cg_590359ebcacda393,TRAIN,True
ykhs7s2dck:q8-29,ykhs7s2dck,q8-29,cg_5a70e914b6471ba5,TRAIN,True
ykhs7s2dck:q8-3,ykhs7s2dck,q8-3,cg_7b3e8dd7366a7945,TRAIN,False
ykhs7s2dck:q8-30,ykhs7s2dck,q8-30,cg_3a606273fb0d889c,TRAIN,False
ykhs7s2dck:q8-31,ykhs7s2dck,q8-31,cg_830df38ede9b2de8,TEST,True
ykhs7s2dck:q8-32,ykhs7s2dck,q8-32,cg_9abb06a21b6fa303,TRAIN,False
ykhs7s2dck:q8-33,ykhs7s2dck,q8-33,cg_a841812423416444,VALID,True
ykhs7s2dck:q8-34,ykhs7s2dck,q8-34,cg_f28b9720dbc7e026,VALID,False
ykhs7s2dck:q8-35,ykhs7s2dck,q8-35,cg_d76e2f1f8d5c42a6,TRAIN,False
ykhs7s2dck:q8-36,ykhs7s2dck,q8-36,cg_1e1f16afe85f1a49,TRAIN,False
ykhs7s2dck:q8-37,ykhs7s2dck,q8-37,cg_a064df3d047f4519,VALID,False
