capture_group_id,dataset_id,split,physical_specimen_count,specimen_keys,cscan_source_sha256,surface_sha256
cg_098fbb1ed849587c,cgtnjyggtm,TEST,1,cgtnjyggtm:q24-23,c5752ede3173c228208d4b81d246165a2f1bf0815a4ace7ffd0ee28d3f6204a3,1663c4723b7328f4269482673d3f1004424a36cb01c02aec5762b2a4316d5a31
cg_09f55d59cd17f987,w68dtmpfyf,TRAIN,1,w68dtmpfyf:q16-19,c767f51fd9034363c6e8b2e262e4fbb89b5da4888a375a326d5444939f6de01c,854f5f5f2f0040701d7aa61844a34e2c85d52764be6f5d73d1bc631a70b41522
cg_0d1994d0164384d4,xcmzfsbd9t,VALID,1,xcmzfsbd9t:c24-9t,2b52124837166e3a4e555ab6d7331197325876267fa74d5cea6b26c7ac21cd18,39403db34361de0fd516c10489073c228e98311be9b4605677c254d39ffd9dbd
cg_0eee2b99193cbaf3,yfxyg8jm46,TRAIN,1,yfxyg8jm46:c16-33,c41404bb33a1ae227fc41a0e264c4f942939195040bccac889591ed42c2a994b,049334be25a0344ac0b4eec1d6fe7f722ab489d40c6c36ea9081ef646b414e6d
cg_0fca9fe6e18bf882,xcmzfsbd9t,TRAIN,1,xcmzfsbd9t:c24-11t,5c0229e15a7448cd5d32fca350ff116457b7b17b8df35958b90955900f4d9d03,1a476ec3c4a4a1efd4a90572d3708adfbc9c0e7c6f04663d814790736411d00c
cg_191d78c680a8349d,w68dtmpfyf,TEST,1,w68dtmpfyf:q16-24,917c33d3c8b1b67d59b3a4e0c7db0326e847e61c025af19bffe61885b9227a11,e13dfed80e43b8f693d93f9cc577868a603d60ad414e4e5b8c245decf86f69bf
cg_1c17e0b8b32715a3,xcmzfsbd9t,TEST,2,xcmzfsbd9t:c24-10;xcmzfsbd9t:c24-7,4be8c07aaae228cdc6c0ff016e3974411688818f7fbc87f29e337623863e7ac3,9a5fe346109f85e401101e776ddfdaabb6f62a339633388bbcd639b6b741230e;f21037304f0cc020726fc4214f78296f769acc66485f2deb97d16355e08129c5
cg_1d554c668d98c3f0,yfxyg8jm46,TRAIN,1,yfxyg8jm46:c16-43,9ced6b52bf31d72bf734dc3142f33c337b9fef271232c5318a8f095e7f7c27a1,7f7bf6dc7dacefe4c776a0a48606e23dd41911b93a91983bf03a75997acdbe48
cg_1e0ead7a1e7bebd6,w68dtmpfyf,TEST,1,w68dtmpfyf:q16-5,12c3dd6f568a8377133fe281b0aa74d9103cd97832740314a094135ee5f30e78,f0ccd1c7c20b3e4ba0f41620dade671fd295f688c00f8c9a68c2d374bf344950
cg_1e1f16afe85f1a49,ykhs7s2dck,TRAIN,1,ykhs7s2dck:q8-36,1b04ba412e93de39538277be4f606af3304fe0a41bb23e05c2236837d93eb3b6,27a0af15b1f03d6fa16f6f36ada6abf7034aaded3e516cf5cc40137e5069cb92
cg_1f3b65d59663f9df,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-33,f4be7b561d01d26434861b416b5e410e1e856e9b80a420fba56a0ccff75bf36f,c3461ba337c907a95b7ba71452829bf7b7d2ed55dac65ad7dbb2440cc2e54833
cg_1faa0f56583da058,yfxyg8jm46,TEST,1,yfxyg8jm46:c16-32,db100289690bbefa97bc62032d28fbfbff7ab185f3af3943b27669c547e3a678,d2c262d072da1fa9ad522b9e81537faf67694cc5174daa3cb980c5d3058152f5
cg_1fb4ac7aa3d962f6,ykhs7s2dck,TRAIN,1,ykhs7s2dck:q8-7,11da72e459a63cc7899af1d54adbc0e2adb9135f0652ca2a0b01e37963550522,3bc73347113f3f689384dd8cd0b01d8d93c0c1e51b6b6cc08ed9c49cf8da0e24
cg_21ec55cc3074f4dc,ykhs7s2dck,TRAIN,1,ykhs7s2dck:q8-41,5220d5a993a2e014135ddcb77a87249d2e4f65cbe3091aa580f475998cd06b44,527bb9b2d58149d07cca69d9300679bf44d9425d3f62efe99265bc92800ada08
cg_225d073ef5169f15,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-26,26139219108f92000ff2cd1b72fec8458d9510e0c0c8339755f8ad94f0743206,c8ccd838695d6661b86cdee8f44440b3b07c5f4011a2d9549e1a5a26428d298c
cg_241a1cf0a8e43b49,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-25,2e910c96b9746e0a74742f8b6258195dc81d9c3da9bc20a8b6da5d385ac946eb,27c94f8ef0c925784ca7fa296135c927dad9d539bdc20288780ec9cca2a84329
cg_248d232f49968f87,74t7kcdgkr,TRAIN,2,74t7kcdgkr:c8-5;74t7kcdgkr:c8-6,3cb9acc495145837dd7c9b98406dccb6e0abdf2fccd654f91718b8ec9be3ec49,a2d5119c1f2e9593318c35f1b65f7091f8dc48f2d9421bc2ed0033bf13eef025;b8f9a8588f11cc4ac4aa30103c458ba872d04f4a945161206450534968c15bd4
cg_2508a9d6037ebb4d,74t7kcdgkr,TRAIN,1,74t7kcdgkr:c8-33,40fe015dbad0b9930abb6df747e66df4b325be1bb42ec3c2663eac5c1cf2025c,823b6f5c9ea96e166fdf39057176eb352ad1eed0e39f2694f1169491abb917af
cg_252dd46f78b2b01c,xcmzfsbd9t,TRAIN,1,xcmzfsbd9t:c24-59,0810f1c6ac680ad4837686ece7e302b680012286625af9175d91b2ad8d31dbb1,5cbd3596eb87fbb7dff5b639a3c646f3d997542a24d6fe728f5e22e71f3eb598
cg_25e67d3eaab70702,cgtnjyggtm,TEST,1,cgtnjyggtm:q24-12,68b038824f9c3fe561aad6f4705c9eaccf2679ff3d514f902811f9bf5568975a,dc8c6ad23acc59950fa13595180567e2bcbe220dc0042f03fbd5d4cddefdff23
cg_2704358c670e7e0e,w68dtmpfyf,TEST,1,w68dtmpfyf:q16-39,d17487818742befbbd8f4706347a8f6547b52c9fa3fb99a7ea4a7e90a771de32,f57e8b913b28c17772e74533faa1341470202f270a1c83629d0e8bcb3940465d
cg_2831154da4f80c90,ykhs7s2dck,TRAIN,1,ykhs7s2dck:q8-1,e3606aa3c39ff5337e8ae565700483f7f1f08de678571009d06c5ba62374ad1f,fc77721584d7c6b826d276a89afe15d90a784c4a50c9b3598331099b1616b882
cg_287f1ab311b9a3fc,xcmzfsbd9t,TRAIN,1,xcmzfsbd9t:c24-30,3824cdcbd5ceecc427f5c68b9768e81cd1ba75fa0b639882699c4aeca1e202d9,d7145feb0c9c8eae0c2b3fd03b50275d20a7a5c1f3dbf80b98fbc65ab962a2e5
cg_2a886fcf0043e52e,ykhs7s2dck,TRAIN,1,ykhs7s2dck:q8-39,ab13a7de13893f207e7907dc0dd10244ee7a81b68e364fb70ff55e6e09097da2,5397f71beebf9ab4dfe926fceb7aa4a2016be96fe7e7fc8fb457f786b686e65e
cg_2cc9cac1c5baaf14,cgtnjyggtm,VALID,1,cgtnjyggtm:q24-9,594d6a20aa972ce4ceb008c8187e74bf7dfe8ee4b2eebcb56890c31eede0cf7e,58a3c70e4e2c47663ceb113eaee1709396ff77e157816b944f5240f26a727bb4
cg_2d68d9e958d79557,xcmzfsbd9t,TRAIN,1,xcmzfsbd9t:c24-48,ef44dd6a5cc1ea7f880a5242dbcacda70cc00b65acfdf90633a649d63f8293d3,1ecdf33e7f951a1d819238a49235581d07d18c9a71dee9a42fdce97ccb1bf2e4
cg_2d9148e727ec29ab,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-41,626815e97fa6a9d3654c64066e13a615bf449dd4ad65698d451c858dd0461c0b,aad560a16f8f0fb61db30b84b161d90f5751ac88b26a5b1463eda5621e55122f
cg_2ebe4aebb2175329,yfxyg8jm46,TRAIN,1,yfxyg8jm46:c16-40,bf57aa63e115fb75e0454196c4bb60ebe06c3c0ebef51089ec81029d30602d43,16f30b5a7397f68cfcd966d7c784ecf5838e28dbb4f3943f7065fe690c14ee5c
cg_2ee766de56118a33,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-37,6b169b95df00a14cb2d33a0d1cc2fe3b01d9d2a51d33fdfab18faee4868757a1,34600ca09fdde8eb983f515056f9c68de095c71b215194337fb539a64d49794f
cg_2f44cdebbea84787,ykhs7s2dck,TRAIN,1,ykhs7s2dck:q8-12,31695702db265eb750cf9e4f12ba292c02f4aa676eaf52cd0f268697e243efbf,efc3211201703dc2fb720fb6b97ec43574330fe50de7bfd882b53e834b96acd2
cg_306e4a499acc46c1,74t7kcdgkr,VALID,1,74t7kcdgkr:c8-12,5e8d5044578091416ffb4416935528bc2bcae39907f8ca5d695a66efd0004a6d,34505c44d206fb8bea8f8ef69c936745f99d0ea5522729fcc09385075a4c72ec
cg_31448f2fd1bc6ab6,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-29,6062f83c5bab31bdfc018368be85697cf76f0b718e8817ae4be84f21028f66e8,bba0c3631692d5eaab633b0f19ac0584534548649b6926f652758e6f05c3e855
cg_32c339f0600cd27f,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-38,556a34975d6885b18c882a2b3513c613b1f48561b56ff8b6be6ee83f987f7d13,30fefa69accd60e954cc50ca18fb33787e0da30e2d8149ce76953cbb2270e546
cg_3361913654df8b27,w68dtmpfyf,VALID,1,w68dtmpfyf:q16-3,c8d3c134d13d41cc1c1bb0db56290e17b5112bfc1d9210fb4af6c10a2db8af55,e213240f4c80a0e754da56679b739c74fe8b5a0459c96d634364dfe56754a285
cg_344fc945dcb88757,cgtnjyggtm,VALID,1,cgtnjyggtm:q24-6,7d00661861e52534b7a6303d8bce5bef38628b7aaedc1b4e5c48156ea4b52f29,2fc77c77f50026053edefb416c8f7ce1e0f5359efb2563805bdb7ad04d4f709c
cg_354aea2e84731e86,yfxyg8jm46,VALID,1,yfxyg8jm46:c16-24,daaecb15aec6bfcd44a93e0cc26b2c8e8e03391c6c359ffe6d76b503b2ecd74d,e0956152babf44f04a5a2715b4ec73696f4cfd29417c013c300cb82c04d75362
cg_35c6fccda4bd7213,xcmzfsbd9t,TRAIN,1,xcmzfsbd9t:c24-6t,f0101bdc4e9c2c0b106b5b0a70f8e3c08df9ea4834c48a992d374b2389f8ecb7,abdef06c9c8a3937b0c8bc332886d6aae2dd4f9d63445c3e56542f76f31f5c18
cg_365b15d46b3bc5a9,yfxyg8jm46,TRAIN,1,yfxyg8jm46:c16-3,89bc206e80937775015efda06aa7d45538eecbe88f0c775d41888dc98af7ad76,32847e762fe566b76c4473fc3e8b51d75633851de024caa56edb2ec5c842e315
cg_39bf4ddc679c9a42,cgtnjyggtm,VALID,1,cgtnjyggtm:q24-24,50eda8492ca6c223dd8b85ae105dee958d02d9b16ed09d21dd4b748a0be5e6b0,0350ff1303042b0161a6fc964a7d97698100d310f6deb9b391f6fe0d34fb9191
cg_3a606273fb0d889c,ykhs7s2dck,TRAIN,1,ykhs7s2dck:q8-30,25be3bb38b1dbec859d1e5d701716c04c5a7a551fc77f58f491e44d6d7514ada,e165c13a535562c31ecc4abe9623a135543b2af123d2a1563c34cbcfae6159d6
cg_3b02cbdaed332c2a,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-18,e5eddce64dd81083cc6e7f75068c562e88522f57294dcf30d7b3ff9e7fa21cb2,51226c7953af1df9300b50902754d06b12efd72b028ad98b5b134ade21d31a84
cg_3b33997b939ad827,74t7kcdgkr,TRAIN,1,74t7kcdgkr:c8-25,9f582206a9ae203b7419c43c5548640568137a41a924b526ee2c0f295b23d157,04bf38f0af77606bb6c58205ba4b04119eea06c06dce5c9d3b08c10c0b4abc28
cg_3bb66e6f43880676,ykhs7s2dck,TEST,1,ykhs7s2dck:q8-23,3df96e23212453f8831c4b3138e12a739ec8b4791764f4afd8820adaad2e0be6,83d1881eeef833a25eed136f81365192ad13eeb25a16c199d4588ce4e13f56f3
cg_3c15c48ecc575afe,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-13,4d9e2edecf4d861c021a4c03af3eb88ccb33871d4d3a1dffb9cf89c1c7d326fc,a22fbe228686892471d2bc2c77cdf1f3137437d78facf28edbb97a724ae3386e
cg_3d3acefaf6e1e216,xcmzfsbd9t,TRAIN,2,xcmzfsbd9t:c24-8;xcmzfsbd9t:c24-9,0e87000425f41b2cfb72461e0a7b6b668e2c2848325fc4d6f9bf2733cc400c54,0583d5956ac6c20dda577eebe7fd42aad2226c3967a731c1fbc86afd26dd9029;545f60c5190bbfce9979f5717ab74c798a40dd75f9adc796eecb38e97929e2aa
cg_3d4777af33de9c8f,xcmzfsbd9t,TRAIN,1,xcmzfsbd9t:c24-26,d383016ef0f89009c5dfb2fce9775cc36273ab37ef3ef1bf136d71a08c557a40,1067fe04312d4f42b0a9112d96c8b6612601b883f2334da58b44373b65ed79fc
cg_3fa684f0752095da,yfxyg8jm46,TEST,1,yfxyg8jm46:c16-35,f99043e887a6042298972da9e4df22d3c19daa05fbd198d0f831ac4e6c17f636,1786d6705cc45c5a8c6a8f5b542fa72104f5926f74c611a6dcf47f12b61039e9
cg_3fb8cff46ea6c70d,w68dtmpfyf,TRAIN,1,w68dtmpfyf:q16-37,fd305047011660cc914d594bd37314a76562ac42be9403bd0b633c4f74eb7cba,8bcd481c1f9a5cf04d32318ea7350dfd1a1c3cecb89e00ec88e9cc40e8a7a4bf
cg_41db68e464c56382,yfxyg8jm46,TRAIN,1,yfxyg8jm46:c16-8,3d04c95ab8fce042373ca318c2005079ed579d6de47a75452278fed08fc9667f,97a073036a10b87a3e871f49fbaf125124df06d58062583b15baa2eebbf1a484
cg_42a8b494f17e6332,xcmzfsbd9t,TRAIN,1,xcmzfsbd9t:c24-45,bd9d400ae06d3c791b27d02d3531c8baa94b5f7701f1fc7b62e1c4313ad09cbd,13b707840a65c4eaa544cb74424ae590f2654649068ff24ac067862200e7d3aa
cg_436f4e4305ab635d,74t7kcdgkr,TRAIN,1,74t7kcdgkr:c8-19,931df138e4de133d3afc58cfdff0ab867c0ab53e4af30f07fa3aaba72e833042,1eb1caa9ea96baa33c52e4f3411c714991996620639480a3bf638acfb347b504
cg_438165d9faa530d5,xcmzfsbd9t,TRAIN,1,xcmzfsbd9t:c24-46,53bbc6ea3ccd55759172071f9b2d7bc40a4e00b5991da7946794d254f70e1e5f,a80df91dafc228b9856a336a1970bf01f4e5a338b1000a1282ca6d9c92c5f339
cg_44520703869fedb6,w68dtmpfyf,TRAIN,1,w68dtmpfyf:q16-26,46973b83f8ec767ef2a19d1c639c014c2fdb2ec8324b84a7f32f91d235e5818c,8db32f6cbe12c968bc73e4bc83fcd4093e2f5ef61b264a4348c337b30cca1b29
cg_45fc094d021659f8,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-45,601fb7590f3804181ba423d1741b0107c67b797d35eddf26de6a164ee6faa1fd,a22aae21aa2e4b73e8bd8387dd99fd24d7f0dcbefbb862d612dd8334c8fb1a11
cg_4696afbc2610bbc5,ykhs7s2dck,TRAIN,1,ykhs7s2dck:q8-19,a9a7270877ee6e314db27c4039aef0e7812a874cfd541261b1941b4c0ae56eb3,fb9d6532eafcac24ea99d2656bc869b5c790db64162dcba2fb8f81691ef33b75
cg_46b4adef6a8c88f3,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-40,6cd1389c52eaefe112f05784f436ddbd5ef0d6174ed77293e59260b075d094d8,328cf2d21150686f864f24f9d7575f2569c6985d126ada09b932966a485e9c1c
cg_47020ca01ed73676,w68dtmpfyf,TEST,1,w68dtmpfyf:q16-4,7055541bf130b9bae3ba5b9a1f6a9d28e24148da05e57086bad48b401ea529cf,391ba24eac629826b6c198611a1e30c1f4899e22e3f7e187e5371bc6de758f12
cg_4727e52185e52b61,xcmzfsbd9t,TRAIN,2,xcmzfsbd9t:c24-20;xcmzfsbd9t:c24-21,aafd146537846d4c079812072085f83d8723257d5d65fb4ba95ffb0bca224974,5c8baeeebc704c726c510b8d0a0fa34f73c09688430a19f93e6694de6cdf4aea;6a050797a0880350bc3c88e842645c0811cf7f1bdb048c48f68b1907439dd2ed
cg_4781c370ac35071e,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-20,3be129310d7486dbeabde16caf5b99644f2a301f5d56feba425a6070ba5d0b0e,fbf8f8cd97674c0749384323a43dffa5f0e5a120fe651a80f1885258bf307b53
cg_47ef3b3d17845087,yfxyg8jm46,TRAIN,1,yfxyg8jm46:c16-13,d31180e776ad91ea0c0b7225dfe2a6ca32084dc79e29d6687952bb2faf6889e3,791583c6f4dddcc5220820126df4f9d726e63982cdc298c76b05862d7bea642e
cg_49a8729e5e33e69f,yfxyg8jm46,TEST,1,yfxyg8jm46:c16-38,bc728abb6ecda70a09840464e98c1ce9d22d54bc2ee080d1d9bdef29a562ce49,d0655d09fac4977cfdeb34cdd3b625260796260854931dc420bfa4c61bef9f36
cg_49d6f1237b716b24,74t7kcdgkr,VALID,1,74t7kcdgkr:c8-21,62c923192f12ca0716be2b0c0980a5239cc8960322b6658ff69ab866883fff4e,334ea0c49f7626f221e92014670ecbbc2eab0373a28017bf2facd33a5f0fc7a0
cg_4a5dcff4719c1cd6,cgtnjyggtm,TEST,1,cgtnjyggtm:q24-50,cd65fbda84fb79eb7108fdb4aa9c2eeb73f4b0a76de936d286c27ec499843538,bd766dbf12e804a9e5f995e31534529aae455b7f5e99eb584696343ff87f2b17
cg_4b0a76b955d3af98,yfxyg8jm46,TRAIN,1,yfxyg8jm46:c16-20,3f18047b821458fc130d1eafae962b3c1951b8d7eddffc89364b065037b6eb7d,26ebc0ef70cdca42762065b7befd66530f36bbea032a4f1aa6e213525a04895b
cg_4bbd0b41dabbddaa,xcmzfsbd9t,TRAIN,1,xcmzfsbd9t:c24-54,941b424998bf911d848d4f4048e627d32b5e4d66a0fa21ddaed5c7ec13be7724,0c385a1e7120d9df582458a0638b4097b59a8b8c90cacce6dc5b4407b95d4a90
cg_4e315e32d98d4717,yfxyg8jm46,TRAIN,1,yfxyg8jm46:c16-36,dfedd1ce0b96b595ddf93b9ad07194440645ecb8ee2317b036c44c6054a7aca1,84c40a1adbf48f7a82f344dbef02b6a8b4ff42fe044c7224495ad8a870b51fe5
cg_514ca9d914207c05,yfxyg8jm46,VALID,1,yfxyg8jm46:c16-39,533d270ace0d05d096e7c604e88089084743f18447b398108bf79e9937006d7f,729ccf79220afea93eaabe908d9ffff9e59f91cd9c533076c71423c0c5eaa3bd
cg_523711040788bde2,cgtnjyggtm,VALID,1,cgtnjyggtm:q24-47,1e9b1d22ce220028122238e5176098949e521ea7c4571a73b13894a9ced43c1a,eff20dbb7615aaf4f17620af78f8394928118402d795c0e4e225575c64c767fc
cg_54117e0fb7aa13a1,yfxyg8jm46,TEST,1,yfxyg8jm46:c16-34,68ed3fc24fa01fae8a8b1acd5695ef7608a896a3029ff81670a5e20bb9bf4a67,a3f2a1f2144ef30c64c2f42da36130b3ced24ef79bae9f9466b5d800c90699d4
cg_54890e18ff2b2669,cgtnjyggtm,VALID,1,cgtnjyggtm:q24-22,837b00e6020074e492b6dbedebf70718d7182e22d0d388900c5bc65057ab038e,f9b68fa0afaccc50af654d8209a5ffd8653bc2b1de801ba95edc060f86433496
cg_5549ad4618fa66a9,cgtnjyggtm,VALID,1,cgtnjyggtm:q24-48,5472f053ad54dec09e19eb726bf8ed402c1a038cf41e15acb89edc29ada0f0d1,89090ab85a001ed26f3133af555ebe6f56fe894068bb0330eef57c45759673cb
cg_5664e5fd63a64397,74t7kcdgkr,TRAIN,1,74t7kcdgkr:c8-23,2ddf3941c55e1dff110a5d91a246d1a01e1de9f6913502e093114ee2e7a6c81a,a61eebadb40109142b8e617c65758734f821c0cf1e888e95050b0324638260f9
cg_566ef10dac88cac7,ykhs7s2dck,TRAIN,1,ykhs7s2dck:q8-5,88591a92d0d43c8f62a9fdf70312c1fb59f1e98a1f0b1bf12b7bcaedab004e2c,cdcd9882a10599307a0467fbdf0133a133e9b93156a37ac5933324d26f58b137
cg_571056aab3ab6ab7,w68dtmpfyf,TRAIN,1,w68dtmpfyf:q16-27,d8a55e4ee75f68690505df4de315c349b0a0e227ac266bd1df669808aca0b278,ab368397d8718fb064c6d47a73727bc33807728c7e8c618837381ec1c0bbe88d
cg_590359ebcacda393,ykhs7s2dck,TRAIN,1,ykhs7s2dck:q8-28,d20e464b5d660857520ec19e6fd901d050569bccb8f5acf333cde724ff9907e5,d533fabbf9c26136f42bba0d65d5ee308a3d1bdff4b1ee49affd2a6e9d1ee3f7
cg_59e95410b683945f,xcmzfsbd9t,VALID,1,xcmzfsbd9t:c24-50,752e3c31c2a0849546c4635d96ed8a1f774ca54602b43e894989ebb2054a4dd5,ebdc0403f649c45ef5aff9b96f3de8707a41213718f409c371d9eb5a53bf8841
cg_5a70e914b6471ba5,ykhs7s2dck,TRAIN,1,ykhs7s2dck:q8-29,a1790e93b80315fda560f4c11a586dab5e4c26ffde83f240257cc5a5d04d1b0c,97316f12a684311cc32e3fef70136653c3e30ac8723f185c3b07b814d478a6cf
cg_5a80e5179694ff19,yfxyg8jm46,VALID,1,yfxyg8jm46:c16-12,2a433e461072fb2c6e3df77c4477bb11567f87c50aea7349d2a0b7661af790fc,882d6b8792b9c7f1311b9b9d4c92dea0b4ce329c2f2f6583bb11704bf9b37f8c
cg_5b69034f62b69fc9,cgtnjyggtm,TEST,1,cgtnjyggtm:q24-3,a52e7fa5ea741190b6724f92ed6dcfc9c9db5ec3129fab05ae50ab64bdf5d0c7,43537fbf608ae10fd244abc6fc0bdf318f9b1a262365f7a3c29d332be771c9be
cg_60c6812942ba2332,ykhs7s2dck,VALID,1,ykhs7s2dck:q8-15,a4efcc8d1712a400d13e2202148dbf7088275e83a43174e23541dd8a308fcde1,543323edc2e52ccb1e8fc019e50183ee4584a9df2c392aa8a0e70ec21199739e
cg_6522dc02c83d172a,yfxyg8jm46,TRAIN,1,yfxyg8jm46:c16-41,8c1609013b3b5b741ec93afab25a7ed9ef2e3174388a60397404009d28f580a1,70b3a8a1e9fae5dc36e84dff56f38d0cd76e588a63a98f5765ccb2c682898286
cg_65eb719cba763617,ykhs7s2dck,TRAIN,1,ykhs7s2dck:q8-9,ef99abc64eb668f4a7a9663da2bd8cf7756775c0bd3e210ff87943f21ece5d27,c8ec47c5f6b35c170898349b0685a90b6378c904b7e2e936d8180863b3f9d356
cg_66341cccfb649c4a,w68dtmpfyf,TRAIN,1,w68dtmpfyf:q16-40,aee39c06ef4e71fd01eb7f4406e73a8309fc11684fbeecd92302c1fea20287f9,4429524f539a549e90d77d67b9c35510cb2ece0d17e644a490ad3e1f74a040c8
cg_6853c8e74a68016b,w68dtmpfyf,VALID,1,w68dtmpfyf:q16-43,ffc40eaaa93d917abd51895c6c48d82aa4a0d7931e6b6548535ab34fdb8aab0b,4ebea5bb47eba8cb77a7b02ced3ab1cef5f1f612efaf32aec04c95f2646654ba
cg_6938bb52fa481ecc,xcmzfsbd9t,TEST,1,xcmzfsbd9t:c24-8t,01425e594cbd39bf12bc78b797a5716f567a5f291f04411a7150baea932bfc51,f0e7c02b8bd5c3eeb6128ca8f82852399c3c51a56e53e3f58d587347751b0af7
cg_6a8e1757d1cd64cd,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-2,a1c559f244d33dab8fb0943b1ce3a7f5d88abb8402378e2065a64bf31bdb729a,5899c8c22aa7101c345457b3c1872f16e14eb112b667bf1949902665f2849365
cg_6bcfd189af907c0c,w68dtmpfyf,TRAIN,1,w68dtmpfyf:q16-8,c19d29855cc22b936cd0619f656f7965667fa620652d87ca8b1c18712fe7da40,a5d5c5c9b51967c5a554e7890b9256607097eef4d18a5ea856f03dfa03a7b81c
cg_6bfdaced7d2b5bf3,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-46,6b5768f5043258951544e2d34297068d03a066e80bfc9493ca5530eadd1f10db,667c198f6ee7dcc28dd352d467ac1d1048fd3563327741eb82cd3c5ca288044b
cg_6f2222eb2dc4bdd5,w68dtmpfyf,TEST,1,w68dtmpfyf:q16-11,cd2d69cb807f73cd97aaef9644addd0cf22e4cd87eaa244a02000b162ec2b95b,3d5142cb2fdf678c1b3e2b815ed36877dba8ccb6dfb8c5d8449b65f73e6490a4
cg_7172e82577bd2221,xcmzfsbd9t,TRAIN,1,xcmzfsbd9t:c24-58,aea3a05c176746bf297ca8758deab310ae9dbbdcfce0947b76cf353e0912bfc9,bbea240ae0ca95a4a0f0b81e40bbe1999eaf75531f3d0cf60e45b13047e3ee85
cg_7375d6f850c5f9e2,cgtnjyggtm,TRAIN,1,cgtnjyggtm:q24-32,2a735b338cd80a97f296dad1f12ac2cfdfe5bba04fe5a50b33672394bd420ae7,91a54d7baff01afd0f1bf02f3168b805c176f1eb38c8c687be8483fda5362a9b
cg_73ef27ab04a735de,w68dtmpfyf,VALID,1,w68dtmpfyf:q16-14,85750a3be177f41e3b3dd79a0e76e10642026d049a2cfa3d60643108006ec1d4,02cd4231d7be32ed76c98413bcba9c131e04cece04ac396bb4726597cec9dc97
cg_74361971d6b32cf7,w68dtmpfyf,TRAIN,1,w68dtmpfyf:q16-36,47bac99427c0c12bd96271d01d42f8cf0dccfcd475b64331c250d3e2468135ee,016a9dc508469d9853e477ad9a3f4aaba923855a2d837059642cf782bb585c34
