claim_id,canonical_layer,chronology_class,paper_module,compressed_stage,visibility,main_role,supplement_role,main_figure,main_table,main_section,required_direction,required_scope,source_artifact
U4_ORACLE_IMAGE_SPECIFICITY,Useful,POST_P7_DIAGNOSTIC,PART_I_CHARACTERIZATION,I-B_TASK_CONDITIONED_SPATIAL_VALUE,MAIN_HEADLINE,image objective specificity,full cross-objective interval,figure2b,table2,5.1.2,positive supports oracle task specificity,registered normalized-RGB-MSE objective only,results/mavis_science_closure/p14_task_specificity/summary.json
U4_LEARNED_SPECIFICITY_BOUNDARY,Useful,POST_P7_DIAGNOSTIC,PART_I_CHARACTERIZATION,I-B_TASK_CONDITIONED_SPATIAL_VALUE,SUPPLEMENT_ONLY,none,learned-global-mask boundary,none,none,none,zero means learned separation is unsupported,global masks do not reproduce oracle separation,results/mavis_science_closure/p14_task_specificity/summary.json
U5_RIDGE_HUBER_SPEARMAN,Useful,POST_P7_DIAGNOSTIC,PART_I_CHARACTERIZATION,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,MAIN_HEADLINE,predictor rank-agreement headline,full learner sensitivity detail,figure2d,table2,5.1.3,higher means more value-rank agreement,identical strict-OOF states and splits,results/mavis_science_closure/p15_value_stability/summary.json
U5_RIDGE_HUBER_BEST_ACTION,Useful,POST_P7_DIAGNOSTIC,PART_I_CHARACTERIZATION,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,SUPPLEMENT_ONLY,none,Ridge-Huber best-action agreement,none,none,none,higher means more best-action agreement,identical strict-OOF states and splits,results/mavis_science_closure/p15_value_stability/summary.json
U5_RIDGE_HUBER_TOPK,Useful,POST_P7_DIAGNOSTIC,PART_I_CHARACTERIZATION,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,SUPPLEMENT_ONLY,none,Ridge-Huber top-k agreement,none,none,none,higher means more top-k agreement,identical strict-OOF states and splits,results/mavis_science_closure/p15_value_stability/summary.json
U5_RIDGE_MLP_SPEARMAN,Useful,POST_P7_DIAGNOSTIC,PART_I_CHARACTERIZATION,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,MAIN_SUPPORT,predictor-dependence support,full learner accuracy boundary,figure2d,table2,5.1.3,higher means more value-rank agreement,shallow MLP is substantially less accurate,results/mavis_science_closure/p15_value_stability/summary.json
U5_RIDGE_MLP_BEST_ACTION,Useful,POST_P7_DIAGNOSTIC,PART_I_CHARACTERIZATION,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,SUPPLEMENT_ONLY,none,Ridge-MLP best-action agreement,none,none,none,higher means more best-action agreement,shallow MLP is substantially less accurate,results/mavis_science_closure/p15_value_stability/summary.json
U5_RIDGE_MLP_TOPK,Useful,POST_P7_DIAGNOSTIC,PART_I_CHARACTERIZATION,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,SUPPLEMENT_ONLY,none,Ridge-MLP top-k agreement,none,none,none,higher means more top-k agreement,shallow MLP is substantially less accurate,results/mavis_science_closure/p15_value_stability/summary.json
O1_STATIC_SPEARMAN,Observable,PRE_P7_FROZEN_EVIDENCE,PART_II_ACQUISITION,II-A_STATE_CONDITIONED_VALUATION,MAIN_SUPPORT,static-reference annotation,full static scorer detail,figure3a,table2,5.2.1,higher Spearman is better,registered source-only static scorer,results/mvd/m1_observability/bootstrap.csv
O1_STATIC_SET_REGRET,Observable,PRE_P7_FROZEN_EVIDENCE,PART_II_ACQUISITION,II-A_STATE_CONDITIONED_VALUATION,SUPPLEMENT_ONLY,none,static exact-budget set regret,none,none,none,lower set regret is better,registered exact-budget control,results/mvd/m1_observability/model_metrics.csv
O1_GLOBAL_SET_REGRET,Observable,PRE_P7_FROZEN_EVIDENCE,PART_II_ACQUISITION,II-A_STATE_CONDITIONED_VALUATION,SUPPLEMENT_ONLY,none,global exact-budget set regret,none,none,none,lower set regret is better,registered exact-budget control,results/mvd/m1_observability/model_metrics.csv
O1_RANDOM_SET_REGRET,Observable,PRE_P7_FROZEN_EVIDENCE,PART_II_ACQUISITION,II-A_STATE_CONDITIONED_VALUATION,SUPPLEMENT_ONLY,none,random exact-budget set regret,none,none,none,lower set regret is better,registered exact-budget control,results/mvd/m1_observability/model_metrics.csv
O2_TEACHER_TURNOVER,Observable,POST_P7_DIAGNOSTIC,PART_I_CHARACTERIZATION,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,MAIN_HEADLINE,state-evolution headline,full checkpoint detail,figure2c,table2,5.1.3,descriptive turnover is nonnegative,strict-OOF retrospective teacher only,results/mavis_science_closure/p9_value_evolution/summary.json
O2_TEACHER_RANK,Observable,POST_P7_DIAGNOSTIC,PART_I_CHARACTERIZATION,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,MAIN_SUPPORT,state-evolution rank support,full checkpoint detail,figure2c,table2,5.1.3,higher means more rank persistence,strict-OOF retrospective teacher only,results/mavis_science_closure/p9_value_evolution/summary.json
O2_TEACHER_TOPK,Observable,POST_P7_DIAGNOSTIC,PART_I_CHARACTERIZATION,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,MAIN_SUPPORT,state-evolution top-k support,full checkpoint detail,figure2c,table2,5.1.3,higher means more top-k persistence,strict-OOF retrospective teacher only,results/mavis_science_closure/p9_value_evolution/summary.json
O2_TEACHER_OPPORTUNITY,Observable,POST_P7_DIAGNOSTIC,PART_I_CHARACTERIZATION,I-C_STATE_AND_PREDICTOR_CONDITIONED_VALUE,MAIN_SUPPORT,dynamic opportunity support,full checkpoint detail,figure2c,table2,5.1.3,positive means dynamic opportunity exists,strict-OOF retrospective teacher only,results/mavis_science_closure/p9_value_evolution/summary.json
O3_REAL_CHANGE,Observable,POST_P7_DIAGNOSTIC,PART_II_ACQUISITION,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,MAIN_SUPPORT,real-state change support,full state-curve detail,figure3b,table2,5.2.2,negative means lower CAI error,change from initial state does not identify signal source,results/mavis_science_closure/p10_mris_causal/summary.json
O3_FULL_FIELD_RECOVERY,Observable,POST_P7_DIAGNOSTIC,PART_II_ACQUISITION,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,SUPPLEMENT_ONLY,none,independent full-field recovery sensitivity,none,none,none,higher fraction means more diagnostic recovery,denominator is I_field_selected sensitivity,results/mavis_science_closure/p10_mris_causal/summary.json
O3_REAL_MINUS_POSITIONS,Observable,POST_P7_DIAGNOSTIC,PART_II_ACQUISITION,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,MAIN_SUPPORT,acquired-position/history control,full matched-control interval,figure3b,table2,5.2.2,positive means control has lower error,control inherits exact positions history and cost,results/mavis_science_closure/p10_mris_causal/contrasts.csv
O3_REAL_MINUS_RECONSTRUCTION,Observable,POST_P7_DIAGNOSTIC,PART_II_ACQUISITION,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,MAIN_SUPPORT,reconstruction control,full matched-control interval,figure3b,table2,5.2.2,positive means control has lower error,matched causal trajectory and exact cost,results/mavis_science_closure/p10_mris_causal/contrasts.csv
O4_DYNAMIC_MINUS_STATIC,Observable,POST_P7_DIAGNOSTIC,PART_II_ACQUISITION,II-A_STATE_CONDITIONED_VALUATION,MAIN_HEADLINE,dynamic-over-static headline,full interval and domain detail,figure3a,table2,5.2.1,negative favors dynamic real-state scorer,same legal actions and exact costs at 18.75 percent,results/mavis_science_closure/p11_dynamic_valuation/summary.json
O4_DYNAMIC_MINUS_SHUFFLED,Observable,POST_P7_DIAGNOSTIC,PART_II_ACQUISITION,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,MAIN_SUPPORT,shuffled-content control,full interval and domain detail,figure3c,table2,5.2.2,positive means shuffled has lower regret,same legal actions costs and recipient positions,results/mavis_science_closure/p11_dynamic_valuation/summary.json
A1_VALUATION_SUBSTITUTION,Actionable,POST_P7_DIAGNOSTIC,PART_II_ACQUISITION,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,MAIN_HEADLINE,valuation-substitution headline,full component interval,figure4a,table2,5.2.2,positive means AUEBC improvement,retrospective one-component substitution,results/mavis_science_closure/p12_rvp_attribution/summary.json
A1_LEARNED_PLANNING_SUBSTITUTION,Actionable,POST_P7_DIAGNOSTIC,PART_II_ACQUISITION,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,MAIN_SUPPORT,learned-planning support,full component interval,figure4a,table2,5.2.2,positive means AUEBC improvement,bounded learned planner substitution,results/mavis_science_closure/p12_rvp_attribution/summary.json
A1_TRUE_VALUE_PLANNING_SUBSTITUTION,Actionable,POST_P7_DIAGNOSTIC,PART_II_ACQUISITION,II-B_SOURCE_AND_COMPONENT_DECOMPOSITION,MAIN_HEADLINE,stronger-value planning headline,full component interval,figure4a,table2,5.2.2,positive means AUEBC improvement,true-value planning is retrospective,results/mavis_science_closure/p12_rvp_attribution/summary.json
A2_GREEDY_PLANNING_REGRET,Actionable,POST_P7_DIAGNOSTIC,PART_II_ACQUISITION,II-C_COST_CONSTRAINED_REALIZATION,MAIN_HEADLINE,greedy planning-gap headline,full planning interval,figure4b,table2,5.2.3,positive regret means planning gap,two-action reachable-pool diagnostic at 6.25 percent,results/mavis_science_closure/p13_set_planning/summary.json
A2_BEAM4_PLANNING_REGRET,Actionable,POST_P7_DIAGNOSTIC,PART_II_ACQUISITION,II-C_COST_CONSTRAINED_REALIZATION,MAIN_SUPPORT,beam-4 planning support,full planning interval,figure4b,table2,5.2.3,positive regret means planning gap,two-action reachable-pool diagnostic at 6.25 percent,results/mavis_science_closure/p13_set_planning/summary.json
A3_FEEDBACK_BENEFIT,Actionable,POST_P7_DIAGNOSTIC,PART_II_ACQUISITION,II-C_COST_CONSTRAINED_REALIZATION,SUPPLEMENT_ONLY,none,full feedback result interval and domains,none,none,none,positive would favor feedback and observed value is negative,frozen feedback versus no-feedback diagnostic,results/mavis_science_closure/p16_feedback_mechanism/summary.json
A4_BASELINE_MINUS_MAVIS,Actionable,FROZEN_OUTER_ENDPOINT,PART_II_ACQUISITION,II-C_COST_CONSTRAINED_REALIZATION,MAIN_SYSTEM_DIAGNOSTIC,one concise direction-preserving system diagnostic,full static-reference comparison interval and domains,none,none,5.2.3,positive would favor learned and observed value is negative,one implementation endpoint not the framework definition,results/mavis/p7_final_frozen_eval/claim_evidence.csv
